template.clinical.careDemo,Create a demo appointment or encounter. Times use UTC; no real care or notification is triggered.,إنشاء موعد أو زيارة تجريبية. الأوقات بالتوقيت العالمي؛ لا تُنفذ رعاية حقيقية أو إشعارات.,डेमो अपॉइंटमेंट या मुलाकात बनाएँ। समय UTC में है; वास्तविक देखभाल या सूचना नहीं भेजी जाती।,ഡെമോ അപ്പോയിന്റ്മെന്റോ സന്ദർശനമോ സൃഷ്ടിക്കുക. സമയം UTC ആണ്; യഥാർത്ഥ പരിചരണമോ അറിയിപ്പോ ഉണ്ടാകില്ല.,,Pending native review,
template.clinical.careTeam,Care team,فريق الرعاية,देखभाल टीम,പരിചരണ സംഘം,,Pending native review,
template.clinical.case,Case,الحالة,केस,കേസ്,,Pending native review,
template.clinical.cause,Cause,السبب,कारण,കാരണം,,Pending native review,
template.clinical.channel,Channel,القناة,चैनल,ചാനൽ,,Pending native review,
template.clinical.checkEligibility,Check eligibility,التحقق من الأهلية,पात्रता जाँचें,അർഹത പരിശോധിക്കുക,,Pending native review,
template.clinical.city,City,المدينة,शहर,നഗരം,,Pending native review,
template.clinical.clear,Clear,مسح,साफ़ करें,മായ്ക്കുക,,Pending native review,
template.clinical.clinical,Clinical,سريري,नैदानिक,ക്ലിനിക്കൽ,,Pending native review,
template.clinical.clinicalNotes,Clinical notes,الملاحظات السريرية,नैदानिक टिप्पणियाँ,ക്ലിനിക്കൽ കുറിപ്പുകൾ,,Pending native review,
template.clinical.clinicalSnapshot,Clinical snapshot,ملخص سريري,नैदानिक सारांश,ക്ലിനിക്കൽ സംഗ്രഹം,,Pending native review,
template.clinical.collapseAll,Collapse all,طي الكل,सभी समेटें,എല്ലാം ചുരുക്കുക,,Pending native review,
template.clinical.collectionCommunications,Communication Preferences,تفضيلات التواصل,संचार प्राथमिकताएँ,ആശയവിനിമയ മുൻഗണനകൾ,,Pending native review,
template.clinical.collectionConsents,Consent Records,سجلات الموافقة,सहमति रिकॉर्ड,സമ്മത രേഖകൾ,,Pending native review,
template.clinical.collectionDisabilities,Disability Details,تفاصيل الإعاقة,विकलांगता का विवरण,വൈകല്യ വിവരങ്ങൾ,,Pending native review,
template.clinical.collectionDocuments,Document Copies,نسخ الوثائق,दस्तावेज़ों की प्रतियाँ,രേഖകളുടെ പകർപ്പുകൾ,,Pending native review,
template.clinical.collectionIdentifiers,Identity Documents,وثائق الهوية,पहचान दस्तावेज़,തിരിച്ചറിയൽ രേഖകൾ,,Pending native review,
template.clinical.collectionInsurances,Insurance Policies,وثائق التأمين,बीमा पॉलिसियाँ,ഇൻഷുറൻസ് പോളിസികൾ,,Pending native review,
template.clinical.collectionNames,Additional Names,أسماء إضافية,अतिरिक्त नाम,അധിക പേരുകൾ,,Pending native review,
template.clinical.collectionRelated,Related Persons,الأشخاص ذوو الصلة,संबंधित व्यक्ति,ബന്ധപ്പെട്ട വ്യക്തികൾ,,Pending native review,
template.clinical.columns,Columns,الأعمدة,कॉलम,നിരകൾ,,Pending native review,
template.clinical.communications,Communications,تفضيلات التواصل,संचार प्राथमिकताएँ,ആശയവിനിമയ മുൻഗണനകൾ,,Pending native review,
template.clinical.completeCount,{count} of {total} sections complete,اكتمل {count} من {total} أقسام,{total} में से {count} अनुभाग पूरे,{total} വിഭാഗങ്ങളിൽ {count} പൂർത്തിയായി,,Pending native review,
template.clinical.completion,Completion,الاكتمال,पूर्णता,പൂർത്തീകരണം,,Pending native review,
template.clinical.confirm,Confirm,تأكيد,पुष्टि करें,സ്ഥിരീകരിക്കുക,,Pending native review,
template.clinical.conflict,The patient record changed. Review the latest version.,تغير سجل المريض. راجع أحدث نسخة.,रोगी रिकॉर्ड बदल गया है। नवीनतम संस्करण की समीक्षा करें।,രോഗിയുടെ രേഖ മാറിയിട്ടുണ്ട്. ഏറ്റവും പുതിയ പതിപ്പ് പരിശോധിക്കുക.,,Pending native review,
template.clinical.consent,Consent,الموافقة,सहमति,സമ്മതം,,Pending native review,
template.clinical.consentCount,{count} consents,{count} موافقات,{count} सहमतियाँ,{count} സമ്മതങ്ങൾ,,Pending native review,
template.clinical.consentText,Consent text,نص الموافقة,सहमति का पाठ,സമ്മതപത്രത്തിന്റെ ഉള്ളടക്കം,,Pending native review,
template.clinical.consentType,Consent type,نوع الموافقة,सहमति का प्रकार,സമ്മതത്തിന്റെ തരം,,Pending native review,
template.clinical.consentVersion,Consent version,إصدار الموافقة,सहमति संस्करण,സമ്മതത്തിന്റെ പതിപ്പ്,,Pending native review,
template.clinical.consents,Consents,الموافقات,सहमतियाँ,സമ്മതങ്ങൾ,,Pending native review,
template.clinical.contact,Contact,جهة الاتصال,संपर्क,ബന്ധപ്പെടാനുള്ള വ്യക്തി,,Pending native review,
template.clinical.contactCategory,Contact type,نوع الاتصال,संपर्क का प्रकार,ബന്ധപ്പെടൽ തരം,,Pending native review,
template.clinical.contactTime,Contact time,وقت التواصل,संपर्क का समय,ബന്ധപ്പെടാനുള്ള സമയം,,Pending native review,
template.clinical.contactType,Contact type,نوع التواصل,संपर्क का प्रकार,ബന്ധപ്പെടാനുള്ള മാർഗം,,Pending native review,
template.clinical.contacts,Contacts,جهات الاتصال,संपर्क,ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ,,Pending native review,
template.clinical.corporate,Corporate,شركة,कंपनी,കമ്പനി,,Pending native review,
template.clinical.country,Country,الدولة,देश,രാജ്യം,,Pending native review,
template.clinical.countryCode,Country code,رمز البلد,देश कोड,രാജ്യ കോഡ്,,Pending native review,
template.clinical.createPatient,Create patient,إنشاء سجل مريض,रोगी बनाएँ,രോഗിയുടെ രേഖ സൃഷ്ടിക്കുക,,Pending native review,
template.clinical.dataSharing,Data sharing,مشاركة البيانات,डेटा साझा करना,ഡാറ്റ പങ്കിടൽ,,Pending native review,
template.clinical.date,Date,التاريخ,तिथि,തീയതി,,Pending native review,
template.clinical.days,Days,أيام,दिन,ദിവസം,,Pending native review,
template.clinical.deathCertificate,Death Certificate,شهادة وفاة,मृत्यु प्रमाणपत्र,മരണ സർട്ടിഫിക്കറ്റ്,,Pending native review,
template.clinical.deathDate,Death date,تاريخ الوفاة,मृत्यु की तारीख,മരണ തീയതി,,Pending native review,
template.clinical.deathVerification,Verification,التحقق,सत्यापन,സ്ഥിരീകരണം,,Pending native review,
template.clinical.deceased,Deceased,متوفى,मृतक,മരണപ്പെട്ടു,,Pending native review,
template.clinical.deceasedStatus,Deceased status,حالة الوفاة,मृत्यु की स्थिति,മരണ നില,,Pending native review,
template.clinical.decision,Decision,القرار,निर्णय,തീരുമാനം,,Pending native review,
template.clinical.declined,Declined,مرفوض,अस्वीकृत,നിരസിച്ചു,,Pending native review,
template.clinical.demoInvoice,Demonstration invoice; no financial posting,فاتورة تجريبية؛ دون ترحيل مالي,डेमो चालान; कोई वित्तीय प्रविष्टि नहीं,ഡെമോ ഇൻവോയ്സ്; സാമ്പത്തിക പോസ്റ്റിംഗ് ഇല്ല,,Pending native review,
template.clinical.demoNotice,Fictional patient data from the demo API. Changes are saved only in this isolated clinical demo.,بيانات مرضى وهمية من الواجهة التجريبية. تُحفظ التغييرات في هذا المثال السريري المعزول فقط.,डेमो API से काल्पनिक रोगी डेटा। बदलाव केवल इस अलग नैदानिक डेमो में सहेजे जाते हैं।,ഡെമോ API-യിൽ നിന്നുള്ള സാങ്കൽപ്പിക രോഗിവിവരങ്ങൾ. മാറ്റങ്ങൾ ഈ വേർതിരിച്ച ക്ലിനിക്കൽ ഡെമോയിൽ മാത്രം സംരക്ഷിക്കും.,,Pending native review,
template.clinical.demoOrder,Demonstration order; no real test requested,طلب تجريبي؛ لم يُطلب فحص حقيقي,डेमो आदेश; कोई वास्तविक जाँच नहीं माँगी गई,ഡെമോ ഓർഡർ; യഥാർത്ഥ പരിശോധന ആവശ്യപ്പെട്ടിട്ടില്ല,,Pending native review,
template.clinical.demoPrescription,Demonstration pharmacy request,طلب صيدلية تجريبي,डेमो फ़ार्मेसी अनुरोध,ഡെമോ ഫാർമസി അഭ്യർത്ഥന,,Pending native review,
template.clinical.demoRecord,Demo patient record,سجل مريض تجريبي,डेमो रोगी रिकॉर्ड,ഡെമോ രോഗി റെക്കോർഡ്,,Pending native review,
template.clinical.demographics,Demographics,البيانات الديموغرافية,जनसांख्यिकीय विवरण,ജനസംഖ്യാശാസ്ത്ര വിവരങ്ങൾ,,Pending native review,
template.clinical.denied,You do not have permission to change clinical demo records.,ليس لديك إذن لتغيير سجلات المرضى التجريبية.,आपको नैदानिक डेमो रिकॉर्ड बदलने की अनुमति नहीं है।,ക്ലിനിക്കൽ ഡെമോ രേഖകൾ മാറ്റാൻ നിങ്ങൾക്ക് അനുമതിയില്ല.,,Pending native review,
template.clinical.desc,Descending,تنازلي,अवरोही,അവരോഹണം,,Pending native review,
template.clinical.description,Description,الوصف,विवरण,വിവരണം,,Pending native review,
template.clinical.disabilities,Disabilities,الإعاقات,दिव्यांगताएँ,വൈകല്യങ്ങൾ,,Pending native review,
template.clinical.discard,Discard,تجاهل,छोड़ें,ഉപേക്ഷിക്കുക,,Pending native review,
template.clinical.dobPrecision,Date of birth precision,دقة تاريخ الميلاد,जन्मतिथि की सटीकता,ജനനത്തീയതിയുടെ കൃത്യത,,Pending native review,
template.clinical.documentCount,{count} documents,{count} مستندات,{count} दस्तावेज़,{count} രേഖകൾ,,Pending native review,
template.clinical.documentNote,This demo stores document descriptions and filenames; it does not upload file contents.,يحفظ المثال أوصاف المستندات وأسماء الملفات فقط، دون رفع محتوياتها.,यह डेमो दस्तावेज़ विवरण और फ़ाइल नाम रखता है; फ़ाइल सामग्री अपलोड नहीं करता।,ഈ ഡെമോ രേഖാവിവരണങ്ങളും ഫയൽ പേരുകളും സൂക്ഷിക്കുന്നു; ഫയലുകളുടെ ഉള്ളടക്കം അപ്‌ലോഡ് ചെയ്യുന്നില്ല.,,Pending native review,
template.clinical.documentType,Document type,نوع المستند,दस्तावेज़ का प्रकार,രേഖയുടെ തരം,,Pending native review,
template.clinical.documents,Documents,المستندات,दस्तावेज़,പ്രമാണങ്ങൾ,,Pending native review,
template.clinical.dr,Dr,دكتور,डॉ.,ഡോ.,,Pending native review,
template.clinical.draftRecord,Draft — not yet saved,مسودة — لم تُحفظ بعد,ड्राफ़्ट — अभी सहेजा नहीं गया,ഡ്രാഫ്റ്റ് — ഇതുവരെ സേവ് ചെയ്തിട്ടില്ല,,Pending native review,
template.clinical.drawer,Drawer,لوحة جانبية,पार्श्व पैनल,വശത്തെ പാനൽ,,Pending native review,
template.clinical.duplicate,This identity document already belongs to a patient.,وثيقة الهوية هذه مرتبطة بمريض بالفعل.,यह पहचान दस्तावेज़ पहले से किसी रोगी का है।,ഈ തിരിച്ചറിയൽ രേഖ ഇതിനകം ഒരു രോഗിയുടേതാണ്.,,Pending native review,
template.clinical.edit,Edit,تحرير,संपादित करें,തിരുത്തുക,,Pending native review,
template.clinical.editRecord,Edit record,تعديل السجل,रिकॉर्ड संपादित करें,റെക്കോർഡ് തിരുത്തുക,,Pending native review,
template.clinical.educationLevel,Education level,المستوى التعليمي,शिक्षा स्तर,വിദ്യാഭ്യാസ നില,,Pending native review,
template.clinical.eligibility,Insurance eligibility,أهلية التأمين,बीमा पात्रता,ഇൻഷുറൻസ് അർഹത,,Pending native review,
template.clinical.eligibilityHelp,Save the patient first. This demo checks the saved policy expiry only; it does not contact an insurer or authorize treatment.,احفظ المريض أولاً. يتحقق المثال من انتهاء الوثيقة المحفوظة فقط؛ لا يتصل بشركة التأمين أو يجيز العلاج.,पहले रोगी सहेजें। यह डेमो केवल सहेजी गई पॉलिसी की समाप्ति जाँचता है; बीमाकर्ता से संपर्क या उपचार की अनुमति नहीं देता।,ആദ്യം രോഗിയുടെ രേഖ സംരക്ഷിക്കുക. ഈ ഡെമോ സംരക്ഷിച്ച പോളിസിയുടെ കാലാവധി മാത്രം പരിശോധിക്കുന്നു; ഇൻഷുറൻസ് സ്ഥാപനത്തെ ബന്ധപ്പെടുകയോ ചികിത്സയ്ക്ക് അംഗീകാരം നൽകുകയോ ചെയ്യുന്നില്ല.,,Pending native review,
template.clinical.eligible,Eligible,مؤهل,पात्र,അർഹതയുണ്ട്,,Pending native review,
template.clinical.email,Email,البريد الإلكتروني,ईमेल,ഇമെയിൽ,,Pending native review,
template.clinical.emailAddresses,Email addresses,عناوين البريد الإلكتروني,ईमेल पते,ഇമെയിൽ വിലാസങ്ങൾ,,Pending native review,
template.clinical.emergency,Emergency,الطوارئ,आपातकाल,അത്യാഹിതം,,Pending native review,
template.clinical.emergencyName,Emergency name,اسم جهة اتصال الطوارئ,आपातकालीन संपर्क का नाम,അടിയന്തര ബന്ധപ്പെടേണ്ടയാളുടെ പേര്,,Pending native review,
template.clinical.emergencyPhone,Emergency phone,هاتف الطوارئ,आपातकालीन फ़ोन,അടിയന്തര ഫോൺ,,Pending native review,
template.clinical.emergencyRelation,Emergency relation,صلة القرابة للطوارئ,आपातकालीन संपर्क से संबंध,അടിയന്തര ബന്ധപ്പെടേണ്ടയാളുമായുള്ള ബന്ധം,,Pending native review,
template.clinical.employer,Employer,جهة العمل,नियोक्ता,തൊഴിലുടമ,,Pending native review,
template.clinical.en,English,الإنجليزية,अंग्रेज़ी,ഇംഗ്ലീഷ്,,Pending native review,
template.clinical.encounter,Encounter,الزيارة,मुलाकात,ചികിത്സാ സന്ദർശനം,,Pending native review,
template.clinical.encounters,Active encounters,الزيارات النشطة,सक्रिय मुलाकातें,സജീവ സന്ദർശനങ്ങൾ,,Pending native review,
template.clinical.enterBirthDate,Enter date of birth,أدخل تاريخ الميلاد,जन्म तिथि दर्ज करें,ജനന തീയതി നൽകുക,,Pending native review,
template.clinical.episode,Episode,حلقة الرعاية,देखभाल प्रकरण,പരിചരണ ഘട്ടം,,Pending native review,
template.clinical.episodes,Active episodes of care,نوبات الرعاية,देखभाल प्रकरण,പരിചരണ ഘട്ടങ്ങൾ,,Pending native review,
template.clinical.estimated,Estimated,تقديري,अनुमानित,ഏകദേശമായത്,,Pending native review,
template.clinical.ethnicity,Ethnicity,الأصل العرقي,जातीयता,വംശീയ പശ്ചാത്തലം,,Pending native review,
template.clinical.exact,Exact,دقيق,सटीक,കൃത്യമായത്,,Pending native review,
template.clinical.expand,Expand,توسيع,विस्तार करें,വികസിപ്പിക്കുക,,Pending native review,
template.clinical.expandAll,Expand all,توسيع الكل,सभी विस्तार करें,എല്ലാം വികസിപ്പിക്കുക,,Pending native review,
template.clinical.expired,Expired,منتهي الصلاحية,समाप्त,കാലാവധി കഴിഞ്ഞു,,Pending native review,
template.clinical.expiry,Expiry,انتهاء الصلاحية,समाप्ति,കാലാവധി,,Pending native review,
template.clinical.export,Export,تصدير,निर्यात करें,കയറ്റുമതി ചെയ്യുക,,Pending native review,
template.clinical.exportNotice,"This CSV includes patient names, MRNs, birth dates and contact details. The demo API records the export. Continue?",يتضمن CSV أسماء المرضى وأرقام ملفاتهم وتواريخ الميلاد وبيانات الاتصال. تسجل الواجهة التجريبية عملية التصدير. هل تريد المتابعة؟,"इस CSV में रोगियों के नाम, MRN, जन्मतिथि और संपर्क विवरण हैं। डेमो API निर्यात दर्ज करती है। जारी रखें?","ഈ CSV-യിൽ രോഗികളുടെ പേരുകൾ, MRN, ജനനത്തീയതി, ബന്ധപ്പെടൽ വിവരങ്ങൾ എന്നിവയുണ്ട്. ഡെമോ API കയറ്റുമതി രേഖപ്പെടുത്തും. തുടരണോ?",,Pending native review,
template.clinical.familyReport,Family Report,إفادة الأسرة,परिवार की सूचना,കുടുംബത്തിന്റെ വിവരം,,Pending native review,
template.clinical.female,Female,أنثى,महिला,സ്ത്രീ,,Pending native review,
template.clinical.fileName,File name,اسم الملف,फ़ाइल का नाम,ഫയലിന്റെ പേര്,,Pending native review,
template.clinical.fileSizeBytes,File size (bytes),حجم الملف (بايت),फ़ाइल का आकार (बाइट),ഫയൽ വലുപ്പം (ബൈറ്റുകൾ),,Pending native review,
template.clinical.filters,Filters,عوامل التصفية,फ़िल्टर,ഫിൽട്ടറുകൾ,,Pending native review,
template.clinical.firstName,First name,الاسم الأول,पहला नाम,ആദ്യ പേര്,,Pending native review,
template.clinical.followUp,Follow up,متابعة,अनुवर्ती जाँच,തുടർ പരിശോധന,,Pending native review,
template.clinical.fr,French,الفرنسية,फ़्रेंच,ഫ്രഞ്ച്,,Pending native review,
template.clinical.frontDesk,Front Desk,الاستقبال,रिसेप्शन,റിസപ്ഷൻ,,Pending native review,
template.clinical.gender,Gender,الجنس,लिंग,ലിംഗം,,Pending native review,
template.clinical.general,General,عام,सामान्य,പൊതുവായത്,,Pending native review,
template.clinical.givenBy,Given by,مقدم الموافقة,सहमति देने वाला,സമ്മതം നൽകിയയാൾ,,Pending native review,
template.clinical.granted,Granted,ممنوح,स्वीकृत,അനുവദിച്ചു,,Pending native review,
template.clinical.guardian,Guardian,الوصي,अभिभावक,രക്ഷാകർത്താവ്,,Pending native review,
template.clinical.guideApi,Pass a ClinicalTemplateAdapter to ClinicalPatientWorkspace. The demo adapter uses the authenticated clinical-templates endpoint; business data and form metadata come from the API.,مرر ClinicalTemplateAdapter إلى ClinicalPatientWorkspace. يستخدم المحول التجريبي نقطة clinical-templates المصادق عليها؛ تأتي البيانات وإعدادات النموذج من API.,ClinicalPatientWorkspace को ClinicalTemplateAdapter दें। डेमो एडाप्टर प्रमाणित clinical-templates एंडपॉइंट उपयोग करता है; डेटा और फ़ॉर्म मेटाडेटा API से आते हैं।,ClinicalPatientWorkspace-ന് ClinicalTemplateAdapter നൽകുക. ഡെമോ അഡാപ്റ്റർ അംഗീകൃത clinical-templates എൻഡ്പോയിന്റ് ഉപയോഗിക്കുന്നു; വിവരങ്ങളും ഫോം മെറ്റാഡാറ്റയും API-യിൽ നിന്നാണ്.,,Pending native review,
template.clinical.guideComponents,"Shared cards, fields, tables, tabs, drawers, dialogs and date/time controls compose the three patient pages.",تكوّن البطاقات والحقول والجداول والتبويبات واللوحات والحوارات وضوابط التاريخ والوقت المشتركة صفحات المرضى الثلاث.,"साझा कार्ड, फ़ील्ड, तालिकाएँ, टैब, पैनल, संवाद और दिनांक/समय नियंत्रण तीनों रोगी पृष्ठ बनाते हैं।","പങ്കിട്ട കാർഡുകൾ, ഫീൽഡുകൾ, പട്ടികകൾ, ടാബുകൾ, പാനലുകൾ, ഡയലോഗുകൾ, തീയതി/സമയ നിയന്ത്രണങ്ങൾ എന്നിവയാണ് മൂന്ന് രോഗി പേജുകളും നിർമ്മിക്കുന്നത്.",,Pending native review,
template.clinical.guideFlow,"Search patients, inspect quick details, then open their record or Patient 360. Navigation retains patient identity.",ابحث عن المرضى واعرض تفاصيلهم السريعة، ثم افتح سجلهم أو النظرة الشاملة. يحافظ التنقل على هوية المريض.,"रोगी खोजें, त्वरित विवरण देखें, फिर रिकॉर्ड या समग्र विवरण खोलें। नेविगेशन रोगी की पहचान बनाए रखता है।","രോഗികളെ തിരയുക, ദ്രുത വിവരങ്ങൾ പരിശോധിക്കുക, തുടർന്ന് രേഖയോ സമഗ്ര കാഴ്ചയോ തുറക്കുക. നാവിഗേഷനിൽ രോഗിയുടെ തിരിച്ചറിയൽ നിലനിർത്തുന്നു.",,Pending native review,
template.clinical.guideLimits,"Demo care data is fictional. Production clinical decisions, eligibility, file storage and notifications require authorized domain services. Unsaved values stay in memory; no sensitive drafts are silently persisted.",بيانات الرعاية التجريبية وهمية. تتطلب القرارات السريرية والأهلية وتخزين الملفات والإشعارات خدمات معتمدة. تبقى القيم غير المحفوظة في الذاكرة؛ لا تُحفظ مسودات حساسة تلقائياً.,"डेमो देखभाल डेटा काल्पनिक है। वास्तविक नैदानिक निर्णय, पात्रता, फ़ाइल भंडारण और सूचनाओं के लिए अधिकृत सेवाएँ चाहिए। असहेजे मान मेमोरी में रहते हैं; संवेदनशील ड्राफ़्ट स्वतः नहीं सहेजे जाते।","ഡെമോ പരിചരണ വിവരങ്ങൾ സാങ്കൽപ്പികമാണ്. യഥാർത്ഥ ക്ലിനിക്കൽ തീരുമാനങ്ങൾ, അർഹത, ഫയൽ സംഭരണം, അറിയിപ്പുകൾ എന്നിവയ്ക്ക് അംഗീകൃത സേവനങ്ങൾ വേണം. സംരക്ഷിക്കാത്ത മൂല്യങ്ങൾ മെമ്മറിയിൽ തുടരും; രഹസ്യ ഡ്രാഫ്റ്റുകൾ സ്വയം സൂക്ഷിക്കില്ല.",,Pending native review,
template.clinical.guidePreferences,"The shared shell supplies language, direction, theme, font, density, formatting and form navigation preferences. Preview controls do not change tenant policy.",يوفر الإطار المشترك اللغة والاتجاه والمظهر والخط والكثافة والتنسيق وتفضيلات التنقل. لا تغيّر أدوات المعاينة سياسة المستأجر.,"साझा शेल भाषा, दिशा, थीम, फ़ॉन्ट, घनत्व, प्रारूप और फ़ॉर्म नेविगेशन प्राथमिकताएँ देता है। पूर्वावलोकन नियंत्रण टेनेंट नीति नहीं बदलते।","പങ്കിട്ട ഷെൽ ഭാഷ, ദിശ, തീം, ഫോണ്ട്, സാന്ദ്രത, ഫോർമാറ്റിംഗ്, ഫോം നാവിഗേഷൻ മുൻഗണനകൾ നൽകുന്നു. പ്രിവ്യൂ നിയന്ത്രണങ്ങൾ ടെനന്റ് നയം മാറ്റുന്നില്ല.",,Pending native review,
