english,current_translation,reviewer,status,proposed_translation,notes
"Choose a guide or a release. Search by title, module or guide content. Select a release to read the guide snapshot for that version. Open What’s new to find changes affecting pages you can access.","मार्गदर्शिका या रिलीज़ चुनें। शीर्षक, मॉड्यूल या सामग्री से खोजें। किसी संस्करण की मार्गदर्शिका पढ़ने के लिए रिलीज़ चुनें। उपलब्ध पृष्ठों के बदलाव देखने के लिए नया क्या है खोलें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
Read explanation opens the linked section and records the notice as read. I understand is a separate acknowledgment and appears only when required. Reference guides and unreviewed translations are clearly labeled.,विवरण पढ़ें संबंधित अनुभाग खोलता है और सूचना को पढ़ा हुआ दर्ज करता है। मैं समझ गया/गई अलग पुष्टि है और केवल आवश्यकता होने पर दिखती है। संदर्भ मार्गदर्शिकाएँ और बिना समीक्षा वाले अनुवाद स्पष्ट रूप से चिह्नित हैं।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Administrator-managed preferences,प्रशासक द्वारा प्रबंधित प्राथमिकताएँ,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Learn how defaults, locks and unlocking affect your preferences.","जानें कि डिफ़ॉल्ट, लॉक और अनलॉक आपकी प्राथमिकताओं को कैसे प्रभावित करते हैं।",,Pending,,Documentation content; healthcare paragraphs also require domain review
"Browse page guides, release history and change explanations.","पृष्ठ मार्गदर्शिकाएँ, रिलीज़ इतिहास और बदलाव के विवरण देखें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant preference policies,टेनेंट प्राथमिकता नीतियाँ,,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant administrators can set defaults and lock preferences for each application. Personal choices return when a setting is unlocked.,टेनेंट प्रशासक हर ऐप के लिए डिफ़ॉल्ट और लॉक तय कर सकते हैं। अनलॉक होने पर व्यक्तिगत विकल्प लौटते हैं।,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Dedicated page references, versioned releases and patches, and persistent change-reading status are available through a shared documentation engine.","साझा दस्तावेज़ इंजन में पृष्ठ संदर्भ, संस्करणबद्ध रिलीज़ और पैच तथा बदलाव पढ़ने की सहेजी गई स्थिति उपलब्ध है।",,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker translation review remains pending.,मातृभाषी द्वारा अनुवाद समीक्षा लंबित है।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Most page guides are schema-based references awaiting detailed workflow authoring.,अधिकांश पृष्ठ मार्गदर्शिकाएँ स्कीमा आधारित संदर्भ हैं; विस्तृत कार्यप्रवाह लेखन बाकी है।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker and healthcare-domain review remain pending.,मातृभाषी और स्वास्थ्य सेवा विशेषज्ञ की समीक्षा लंबित है।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Offline copy. Reconnect to check for updates.,ऑफ़लाइन प्रति। अपडेट जाँचने के लिए फिर जुड़ें।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Reusable localized frontend,पुनः उपयोग योग्य स्थानीयकृत फ्रंटएंड,,Pending,,Documentation content; healthcare paragraphs also require domain review
Shared component and localization review fixes were deployed to both demo sites.,साझा घटकों और स्थानीयकरण समीक्षा के सुधार दोनों डेमो साइटों पर लागू किए गए।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Historical page-guide snapshots were not captured.,पुराने पृष्ठ मार्गदर्शिका स्नैपशॉट उपलब्ध नहीं हैं।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled reports and server controls,अनुसूचित रिपोर्ट और सर्वर नियंत्रण,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled in-app CSV reports and persistent audit events were deployed. Provider credentials use encrypted storage.,ऐप में अनुसूचित CSV रिपोर्ट और स्थायी ऑडिट घटनाएँ लागू की गईं। प्रदाता क्रेडेंशियल एन्क्रिप्टेड स्टोरेज में रखे जाते हैं।,,Pending,,Documentation content; healthcare paragraphs also require domain review
External email delivery and native-speaker review were not completed in this release.,इस रिलीज़ में बाहरी ईमेल वितरण और मातृभाषी समीक्षा पूरी नहीं हुई थी।,,Pending,,Documentation content; healthcare paragraphs also require domain review
