message_key,english,current_translation,reviewer,status,proposed_translation,notes
ui.is.resolved.server.side.at.dispatch.and.is.never.sent.to.0bc8d5de," is resolved server-side at dispatch and is never sent to a browser, so it cannot be read, replayed or edited from here — changing one is a server deployment."," അയയ്ക്കുമ്പോൾ സെർവറിൽ നിർണയിക്കുന്നു, ബ്രൗസറിലേക്ക് അയയ്ക്കില്ല; ഇവിടെ നിന്ന് വായിക്കാനോ വീണ്ടും പ്രവർത്തിപ്പിക്കാനോ തിരുത്താനോ കഴിയില്ല. മാറ്റത്തിന് സെർവർ വിന്യാസം ആവശ്യമാണ്.",,Pending,,
ui.is.worth.showing.20.because.someone.chose.20.and.20.beca.91d7efba, is worth showing: 20 because someone chose 20 and 20 because nothing is configured look identical in the number alone., കാണിക്കുന്നത് ഉപകാരപ്രദമാണ്: ഒരാൾ തിരഞ്ഞെടുത്ത 20-ഉം ഒന്നും ക്രമീകരിക്കാത്തതിനാൽ വന്ന 20-ഉം സംഖ്യയായി ഒരുപോലെ കാണാം.,,Pending,,
ui.line.items.a742dc2d, line items • , ലൈൻ ഇനങ്ങൾ • ,,Pending,,
ui.min.46e2a1c0, min · , മിനിറ്റ് · ,,Pending,,
ui.of.a4282e4b, of , ഇൽ ,,Pending,,
ui.open.dee82cf5, open, തുറന്നത്,,Pending,,
ui.patient.03989434, patient, രോഗി,,Pending,,
ui.redacted.4a081a65, redacted, മറച്ചത്,,Pending,,
ui.registered.1804af94, registered, രജിസ്റ്റർ ചെയ്തത്,,Pending,,
ui.required.1307c284, required, നിർബന്ധം,,Pending,,
ui.required.sections.this.measures.whether.the.note.is.fill.d0f288bc," required sections. This measures whether the note is filled in, not whether it is clinically sufficient — and it is not a billing indicator."," നിർബന്ധമായ വിഭാഗങ്ങൾ. കുറിപ്പ് പൂരിപ്പിച്ചോ എന്നാണ് അളക്കുന്നത്, ചികിത്സാപരമായി മതിയോ എന്നല്ല; ബില്ലിംഗ് സൂചകവുമല്ല.",,Pending,,
ui.rows.dc601c4a, rows, വരികൾ,,Pending,,
ui.sections.ordered.core.type.specialty.complaint.context.e.0417b2b5," sections, ordered core → type → specialty → complaint → context. Each names its layer.", വിഭാഗങ്ങൾ: അടിസ്ഥാനം → തരം → സ്പെഷ്യാലിറ്റി → പരാതി → സാഹചര്യം. ഓരോന്നും അതിന്റെ തലം കാണിക്കുന്നു.,,Pending,,
ui.to.87721689, to , വരെ ,,Pending,,
ui.to.find.out.whether.it.still.works.2a65988c, to find out whether it still works., ഇപ്പോഴും പ്രവർത്തിക്കുന്നുണ്ടോ എന്ന് അറിയാൻ.,,Pending,,
ui.unavailable.so.a3f71a82," unavailable, so "," ലഭ്യമല്ല, അതിനാൽ ",,Pending,,
ui.unread.6048438c, unread, വായിക്കാത്തത്,,Pending,,
ui.will.look.empty.other.fields.are.unaffected.04f888e7, will look empty. Other fields are unaffected., ശൂന്യമായി കാണും. മറ്റു ഫീൽഡുകളെ ബാധിക്കില്ല.,,Pending,,
ui.default.2a7e0b7b, · Default, · ഡിഫോൾട്ട്,,Pending,,
ui.audio.is.streamed.never.stored.the.transcript.is.not.sav.346210fe," · audio is streamed, never stored · the transcript is not saved until you use it"," · ഓഡിയോ സ്ട്രീം ചെയ്യുന്നു, സൂക്ഷിക്കില്ല · ഉപയോഗിക്കുന്നതുവരെ ട്രാൻസ്ക്രിപ്റ്റ് സംരക്ഷിക്കില്ല",,Pending,,
ui.mock.transport.d72848f2, · mock transport, · മാതൃകാ കൈമാറ്റം,,Pending,,
ui.unverified.5987f7cb, · unverified, · പരിശോധിച്ചിട്ടില്ല,,Pending,,
ui.failing.at.call.time.would.turn.a.configuration.mistake.c05babfa, — failing at call time would turn a configuration mistake into an outage in the middle of a consultation., — കോൾ സമയത്തെ പരാജയം ക്രമീകരണ പിശകിനെ പരിശോധനയ്ക്കിടയിലെ തടസ്സമാക്കും.,,Pending,,
" — mock transport, nothing left this browser"," — mock transport, nothing left this browser"," — മാതൃകാ കൈമാറ്റം, ബ്രൗസറിൽ നിന്ന് ഒന്നും പുറത്തുപോയില്ല",,Pending,,
ui.not.registered.in.this.build.fe9af712, — not registered in this build, — ഈ ബിൽഡിൽ രജിസ്റ്റർ ചെയ്തിട്ടില്ല,,Pending,,
ui.complete.fe9543cf,% complete,% പൂർത്തിയായി,,Pending,,
ui.interim.03c51dde,(interim),‏(താൽക്കാലികം),,Pending,,
(required),(required),‏(നിർബന്ധം),,Pending,,
ui.12.4.yoy.c7395af6,+12.4% YoY,+12.4% വാർഷികം,,Pending,,
+8.7% vs prior,+8.7% vs prior,മുൻപത്തേതിനേക്കാൾ +8.7%,,Pending,,
ui.change.it.in.my.preferences.the.record.schema.and.data.r.0074fc14,. Change it in My Preferences; the record schema and data remain unchanged.,. എന്റെ മുൻഗണനകളിൽ മാറ്റാം; രേഖയുടെ സ്കീമയും ഡാറ്റയും അതേപടി തുടരും.,,Pending,,
. Choose,. Choose,. തിരഞ്ഞെടുക്കുക,,Pending,,
ui.choose.62778c1f,. Choose ,. തിരഞ്ഞെടുക്കുക ,,Pending,,
ui.nothing.of.that.kind.leaves.as.a.document.487773f4,. Nothing of that kind leaves as a document.,. ഇത്തരത്തിലുള്ള ഒന്നും രേഖയായി പുറത്തേക്ക് അയയ്ക്കില്ല.,,Pending,,
ui.the.assistant.summarises.it.does.not.diagnose.4388468f,. The assistant summarises; it does not diagnose.,. അസിസ്റ്റന്റ് സംഗ്രഹിക്കുന്നു; രോഗനിർണയം നടത്തുന്നില്ല.,,Pending,,
ui.the.controls.below.are.greyed.as.a.courtesy.the.refusal.fffc8d0a,". The controls below are greyed as a courtesy — the refusal happens on the server, not here.",. താഴെയുള്ള നിയന്ത്രണങ്ങൾ സൂചനയായി ഓഫ് ആണ്; നിരസിക്കൽ സെർവറിലാണ് നടപ്പാക്കുന്നത്.,,Pending,,
ui.try.another.module.0a6adf30,. Try another module.,. മറ്റൊരു മൊഡ്യൂൾ പരീക്ഷിക്കുക.,,Pending,,
ui.0.squares.every.corner.in.the.app.169b6538,0 squares every corner in the app.,0 നൽകിയാൽ എല്ലാ കോണുകളും ചതുരമാകും.,,Pending,,
03 Sep 2026,03 Sep 2026,03 സെപ്റ്റംബർ 2026,,Pending,,
03/09/2026 — day first,03/09/2026 — day first,03/09/2026 — ദിവസം ആദ്യം,,Pending,,
09/03/2026 — month first,09/03/2026 — month first,09/03/2026 — മാസം ആദ്യം,,Pending,,
1 — newest only,1 — newest only,1 — ഏറ്റവും പുതിയത് മാത്രം,,Pending,,
10 / page,10 / page,10 / പേജ്,,Pending,,
100 / page,100 / page,100 / പേജ്,,Pending,,
100% token-aware,100% token-aware,100% ഡിസൈൻ ടോക്കൺ പിന്തുണ,,Pending,,
104% of MTD plan,104% of MTD plan,ഈ മാസം ഇതുവരെയുള്ള പദ്ധതിയുടെ 104%,,Pending,,
12 blocking,12 blocking,12 തടസ്സങ്ങൾ,,Pending,,
12 blocking exceptions,12 blocking exceptions,12 തടസ്സപ്പെടുത്തുന്ന അപവാദങ്ങൾ,,Pending,,
"12,34,567.89 — lakh/crore","12,34,567.89 — lakh/crore","12,34,567.89 — ലക്ഷം/കോടി",,Pending,,
12-hour — 2:30 PM,12-hour — 2:30 PM,12 മണിക്കൂർ — ഉച്ചയ്ക്ക് 2:30,,Pending,,
12-month rolling,12-month rolling,കഴിഞ്ഞ 12 മാസം,,Pending,,
ui.13px.is.the.design.as.drawn.each.size.scales.its.area.in.21713684,"13px is the design as drawn. Each size scales its area independently, so dense tables and readable forms are not a trade-off.",അടിസ്ഥാന രൂപകൽപ്പന 13px ആണ്. ഓരോ ഭാഗത്തിന്റെയും വലുപ്പം സ്വതന്ത്രമാണ്; ഇടതൂർന്ന പട്ടികകളും വായിക്കാവുന്ന ഫോമുകളും ഒരുമിച്ച് സാധ്യമാകും.,,Pending,,
field.user.sessionTimeout.option.15,15 minutes,15 മിനിറ്റ്,,Pending,,
158 joined YTD,158 joined YTD,ഈ വർഷം 158 പേർ ചേർന്നു,,Pending,,
182 in appeal,182 in appeal,182 അപ്പീലിൽ,,Pending,,
2 seconds,2 seconds,2 സെക്കൻഡ്,,Pending,,
"2,486 transactions imported.","2,486 transactions imported.","2,486 ഇടപാടുകൾ ഇംപോർട്ട് ചെയ്തു.",,Pending,,
2.8% of base pay,2.8% of base pay,അടിസ്ഥാന ശമ്പളത്തിന്റെ 2.8%,,Pending,,
20 / page,20 / page,20 / പേജ്,,Pending,,
2026-09-03 — ISO,2026-09-03 — ISO,2026-09-03 — ISO ഫോർമാറ്റ്,,Pending,,
218 awaiting dispense,218 awaiting dispense,218 വിതരണം കാത്തിരിക്കുന്നു,,Pending,,
23 breach SLA today,23 breach SLA today,ഇന്ന് 23 സേവനപരിധി ലംഘനങ്ങൾ,,Pending,,
24-hour — 14:30,24-hour — 14:30,24 മണിക്കൂർ — 14:30,,Pending,,
26 licenses nearing expiry,26 licenses nearing expiry,26 ലൈസൻസുകൾ കാലാവധിയോട് അടുക്കുന്നു,,Pending,,
26 renewals due,26 renewals due,26 പുതുക്കലുകൾ ബാക്കി,,Pending,,
3.5 seconds,3.5 seconds,3.5 സെക്കൻഡ്,,Pending,,
field.user.sessionTimeout.option.30,30 minutes,30 മിനിറ്റ്,,Pending,,
ui.4.branches.18.426.source.records.8e3cdcc1,"4 branches • 18,426 source records","4 ശാഖകൾ • 18,426 ഉറവിട രേഖകൾ",,Pending,,
42 batches,42 batches,42 ബാച്ചുകൾ,,Pending,,
42 critical roles,42 critical roles,42 നിർണായക റോളുകൾ,,Pending,,
5 seconds,5 seconds,5 സെക്കൻഡ്,,Pending,,
50 / page,50 / page,50 / പേജ്,,Pending,,
6 on critical formulary,6 on critical formulary,6 നിർണായക മരുന്നുപട്ടികയിൽ,,Pending,,
field.user.sessionTimeout.option.60,60 minutes,60 മിനിറ്റ്,,Pending,,
68 admitted in 24h,68 admitted in 24h,24 മണിക്കൂറിൽ 68 പ്രവേശനങ്ങൾ,,Pending,,
68 off-formulary,68 off-formulary,68 പട്ടികയ്ക്ക് പുറത്ത്,,Pending,,
68 pending,68 pending,68 ബാക്കി,,Pending,,
8 customer critical,8 customer critical,8 ഉപഭോക്തൃ നിർണായക ഇനങ്ങൾ,,Pending,,
field.user.sessionTimeout.option.480,8 hours,8 മണിക്കൂർ,,Pending,,
8 seconds,8 seconds,8 സെക്കൻഡ്,,Pending,,
81 exceptions,81 exceptions,81 അപവാദങ്ങൾ,,Pending,,
89% of plan,89% of plan,പദ്ധതിയുടെ 89%,,Pending,,
99.2% of source records passed validation checks.,99.2% of source records passed validation checks.,99.2% ഉറവിട രേഖകൾ സാധൂകരണ പരിശോധനയിൽ വിജയിച്ചു.,,Pending,,
; administrative writes need,; administrative writes need,; ഭരണപരമായ മാറ്റങ്ങൾക്ക് ആവശ്യമാണ്,,Pending,,
ui.administrative.writes.need.4fd2e058,; administrative writes need ,; ഭരണപരമായ മാറ്റങ്ങൾക്ക് ആവശ്യമാണ് ,,Pending,,
ui.a.comment.is.required.for.submission.and.every.decision.322dedac,A comment is required for submission and every decision.,സമർപ്പിക്കാനും ഓരോ തീരുമാനത്തിനും അഭിപ്രായം ആവശ്യമാണ്.,,Pending,,
api.message.1a98a4333b55,A credential cannot be set through /ai/config.,/ai/config വഴി ക്രെഡൻഷ്യൽ ക്രമീകരിക്കാനാകില്ല.,,Pending,,
api.message.dfffcc85eaec,A credential is required.,ക്രെഡൻഷ്യൽ ആവശ്യമാണ്.,,Pending,,
ui.a.documentation.template.not.clinical.decision.support.p.c2723289,"A documentation template, not clinical decision support. Prompts describe what a note of this shape usually records; they are not advice, and instruments are offered with the conditions under which they apply rather than as fields to complete.","ഇത് രേഖപ്പെടുത്താനുള്ള മാതൃകയാണ്, ചികിത്സാ തീരുമാന സഹായമല്ല. പ്രോംപ്റ്റുകൾ സാധാരണ രേഖപ്പെടുത്തുന്ന കാര്യങ്ങൾ വിവരിക്കുന്നു; ഉപദേശമല്ല. ഉപകരണങ്ങൾ പൂരിപ്പിക്കേണ്ട ഫീൽഡുകളായല്ല, ബാധകമായ സാഹചര്യങ്ങളോടെയാണ് നൽകുന്നത്.",,Pending,,
"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why","A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why",നൽകാത്തതോ പൂജ്യമോ തെറ്റായതോ ആയ പരിധിക്ക് സെർവറിന്റെ ഡിഫോൾട്ട് ബാധകമാകും; പരിധിയില്ലാതാകില്ല — അതിനാൽ,,Pending,,
ui.a.missing.zero.or.malformed.limit.resolves.to.the.server.fafc05f4,"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why ",നൽകാത്തതോ പൂജ്യമോ തെറ്റായതോ ആയ പരിധിക്ക് സെർവറിന്റെ ഡിഫോൾട്ട് ബാധകമാകും; പരിധിയില്ലാതാകില്ല — അതിനാൽ ,,Pending,,
A percentage cannot be above 100.,A percentage cannot be above 100.,ശതമാനം 100-ൽ കൂടുതലാകരുത്.,,Pending,,
api.message.a9180a9049d3,A product and page are required.,ഉൽപ്പന്നവും പേജും ആവശ്യമാണ്.,,Pending,,
api.message.0b3462597a97,"A product, page and saved record are required.",ഉൽപ്പന്നവും പേജും സംരക്ഷിച്ച റെക്കോർഡും ആവശ്യമാണ്.,,Pending,,
A quote must start at the beginning of a CSV cell.,A quote must start at the beginning of a CSV cell.,ഉദ്ധരണി ചിഹ്നം CSV സെല്ലിന്റെ തുടക്കത്തിലായിരിക്കണം.,,Pending,,
api.message.662591b216a1,A record cannot link to itself.,ഒരു റെക്കോർഡിനെ അതുമായി തന്നെ ബന്ധിപ്പിക്കാനാകില്ല.,,Pending,,
A record with this value already exists,A record with this value already exists,ഈ മൂല്യമുള്ള രേഖ ഇതിനകം ഉണ്ട്,,Pending,,
ui.a.recovery.draft.is.available.from.567e101f,A recovery draft is available from,"വീണ്ടെടുക്കൽ ഡ്രാഫ്റ്റ് ലഭ്യമാണ്, ഉറവിടം",,Pending,,
ui.a.reference.list.could.not.be.loaded.a1e0d208,A reference list could not be loaded.,റഫറൻസ് പട്ടിക ലോഡ് ചെയ്യാനായില്ല.,,Pending,,
api.message.2269aa17a223,A saved view needs a pageId and filters.,സംരക്ഷിച്ച കാഴ്ചയ്ക്ക് pageId-യും ഫിൽട്ടറുകളും ആവശ്യമാണ്.,,Pending,,
api.message.fca081b77fa4,A search needs a pageId.,തിരയാൻ pageId ആവശ്യമാണ്.,,Pending,,
ui.a.shared.schema.driven.component.platform.for.erp.master.35e8912f,"A shared, schema-driven component platform for ERP masters, transactions, worklists, reports and utilities. Pages compose reusable controls instead of duplicating markup or visual rules.","ERP മാസ്റ്ററുകൾ, ഇടപാടുകൾ, പട്ടികകൾ, റിപ്പോർട്ടുകൾ, ഉപകരണങ്ങൾ എന്നിവയ്ക്കുള്ള പങ്കിട്ട സ്കീമ അധിഷ്ഠിത ഘടക പ്ലാറ്റ്ഫോം. പേജുകൾ വീണ്ടും ഉപയോഗിക്കാവുന്ന നിയന്ത്രണങ്ങളിൽ നിന്നാണ് നിർമ്മിക്കുന്നത്.",,Pending,,
ui.a.standard.accessible.toggle.contract.a5e4bf2f,A standard accessible toggle contract.,പ്രവേശനക്ഷമതയുള്ള സാധാരണ ടോഗിൾ സംവിധാനം.,,Pending,,
ui.a.supported.level.not.a.submitted.code.final.selection.r.32ace8f6,"A supported level, not a submitted code. Final selection rests with the clinician or coder against current guidance, medical necessity and payer rules.","ഇത് പിന്തുണയ്ക്കുന്ന നിലയാണ്, സമർപ്പിച്ച കോഡല്ല. നിലവിലെ മാർഗനിർദേശം, ചികിത്സാ ആവശ്യകത, പണം നൽകുന്ന കക്ഷിയുടെ നിയമങ്ങൾ എന്നിവ അനുസരിച്ച് ചികിത്സകനോ കോഡറോ അന്തിമമായി തിരഞ്ഞെടുക്കണം.",,Pending,,
ui.a.tenant.setting.this.tenant.is.configured.for.the.uae.w.9f64c95a,"A tenant setting. This tenant is configured for the UAE, where E/M levels do not apply, so the default is none.",ഇത് ടെനന്റ് ക്രമീകരണമാണ്. ഈ ടെനന്റ് യുഎഇയ്ക്കാണ്; E/M നിലകൾ ബാധകമല്ലാത്തതിനാൽ ഡിഫോൾട്ട് ഒന്നുമില്ല.,,Pending,,
api.message.23461961caf0,A valid import identifier is required.,സാധുവായ ഇറക്കുമതി ഐഡി ആവശ്യമാണ്.,,Pending,,
api.message.fd524d32ebf1,A version and operation id are required.,പതിപ്പും പ്രവർത്തന ഐഡിയും ആവശ്യമാണ്.,,Pending,,
AED 2.1M due this week,AED 2.1M due this week,ഈ ആഴ്ച AED 2.1M അടയ്ക്കണം,,Pending,,
AED 218K unfavorable variance despite 4.1% period growth.,AED 218K unfavorable variance despite 4.1% period growth.,4.1% കാലയളവ് വളർച്ചയുണ്ടെങ്കിലും AED 218K പ്രതികൂല വ്യത്യാസം.,,Pending,,
AED 3.1M overdue,AED 3.1M overdue,AED 3.1M കുടിശ്ശിക,,Pending,,
AED 4.6M value,AED 4.6M value,മൂല്യം AED 4.6M,,Pending,,
AED — UAE dirham,AED — UAE dirham,AED — യുഎഇ ദിർഹം,,Pending,,
AED • UAE Dirham,AED • UAE Dirham,AED • യുഎഇ ദിർഹം,,Pending,,
menu.library.ai-administration.label,AI Administration,എഐ ഭരണനിർവഹണം,,Pending,,
menu.library.ai-assistant.label,AI Assistant,എഐ സഹായി,,Pending,,
ui.ai.assistant.ab6eb4ac,AI assistant,എഐ അസിസ്റ്റന്റ്,,Pending,,
AI assistant — {count} available here,AI assistant — {count} available here,AI സഹായി — ഇവിടെ {count} ലഭ്യമാണ്,,Pending,,
menu.finance.ar-aging.label,AR Aging,ലഭിക്കാനുള്ള തുകയുടെ കാലപ്പഴക്കം,,Pending,,
Abdomen and neurology,Abdomen and neurology,ഉദരവും നാഡീവ്യവസ്ഥയും,,Pending,,
Abdominal tenderness,Abdominal tenderness,വയറിൽ തൊടുമ്പോഴുള്ള വേദന,,Pending,,
"Abnormal ECG, echo or troponin","Abnormal ECG, echo or troponin","അസാധാരണ ECG, എക്കോ, ട്രോപോണിൻ",,Pending,,
Abnormal Result,Abnormal Result,അസാധാരണ ഫലം,,Pending,,
Abnormal paediatric result,Abnormal paediatric result,അസാധാരണ ശിശു പരിശോധനാഫലം,,Pending,,
Abnormal radiograph or MRI,Abnormal radiograph or MRI,അസാധാരണ എക്സ്റേ അല്ലെങ്കിൽ MRI,,Pending,,
Abnormal screening result,Abnormal screening result,അസാധാരണ സ്ക്രീനിംഗ് ഫലം,,Pending,,
Abnormal ultrasound or screening result,Abnormal ultrasound or screening result,അസാധാരണ അൾട്രാസൗണ്ട് അല്ലെങ്കിൽ സ്ക്രീനിംഗ് ഫലം,,Pending,,
Above 85% threshold,Above 85% threshold,85% പരിധിക്ക് മുകളിൽ,,Pending,,
Abu Dhabi contributes 44.8%,Abu Dhabi contributes 44.8%,അബുദാബിയുടെ വിഹിതം 44.8%,,Pending,,
section.user.access.title,Access & roles,പ്രവേശനവും റോളുകളും,,Pending,,
Access not permitted,Access not permitted,പ്രവേശനം അനുവദനീയമല്ല,,Pending,,
field.user.validFrom.label,Access valid from,പ്രവേശനം ആരംഭിക്കുന്നത്,,Pending,,
field.user.validTo.label,Access valid until,പ്രവേശനം അവസാനിക്കുന്നത്,,Pending,,
menu.library.accessibility.label,Accessibility,പ്രവേശനക്ഷമത,,Pending,,
Accessibility fixes,Accessibility fixes,പ്രവേശനക്ഷമതാ പരിഹാരങ്ങൾ,,Pending,,
Accessibility score,Accessibility score,പ്രവേശനക്ഷമതാ സ്കോർ,,Pending,,
field.user.branches.label,Accessible branches,പ്രവേശിക്കാവുന്ന ശാഖകൾ,,Pending,,
ui.account.manager.85c0ca88,Account manager,അക്കൗണ്ട് മാനേജർ,,Pending,,
field.user.status.label,Account status,അക്കൗണ്ട് നില,,Pending,,
Accounting,Accounting,അക്കൗണ്ടിംഗ്,,Pending,,
page.ar-aging-report.title,Accounts Receivable Aging,ലഭിക്കാനുള്ള അക്കൗണ്ടുകളുടെ കാലപ്പഴക്കം,,Pending,,
Across 12 accounts,Across 12 accounts,12 അക്കൗണ്ടുകളിലായി,,Pending,,
Across 5 ERP modules,Across 5 ERP modules,5 ERP മൊഡ്യൂളുകളിലായി,,Pending,,
Across 9 warehouses,Across 9 warehouses,9 വെയർഹൗസുകളിലായി,,Pending,,
Action plan active,Action plan active,നടപടി പദ്ധതി സജീവം,,Pending,,
ui.action.queue.7ee1e24e,Action queue,നടപടി ക്യൂ,,Pending,,
Action required,Action required,നടപടി ആവശ്യമാണ്,,Pending,,
ui.action.unavailable.for.your.role.57f0713e,Action unavailable for your role,നിങ്ങളുടെ റോളിന് ഈ നടപടി ലഭ്യമല്ല,,Pending,,
Actionable and traceable to each problem,Actionable and traceable to each problem,ഓരോ പ്രശ്നവുമായി ബന്ധമുള്ളതും നടപ്പാക്കാവുന്നതും,,Pending,,
ui.actions.ff8059dc,Actions,നടപടികൾ,,Pending,,
Active,Active,സജീവം,,Pending,,
Active range,Active range,സ്വയം ചലിപ്പിക്കാവുന്ന പരിധി,,Pending,,
Active workforce,Active workforce,സജീവ ജീവനക്കാർ,,Pending,,
Activity,Activity,പ്രവർത്തനം,,Pending,,
Activity level,Activity level,പ്രവർത്തന നില,,Pending,,
ui.actual.versus.trajectory.refreshed.four.minutes.ago.9151a52f,Actual versus trajectory • refreshed four minutes ago,യഥാർത്ഥവും പ്രതീക്ഷിതവും • നാല് മിനിറ്റ് മുമ്പ് പുതുക്കി,,Pending,,
column.patient-master.acuity.label,Acuity,അവസ്ഥയുടെ തീവ്രത,,Pending,,
Acute Symptom,Acute Symptom,തീവ്ര ലക്ഷണം,,Pending,,
"Acute mood, anxiety or behavioural concern","Acute mood, anxiety or behavioural concern","തീവ്ര മാനസികാവസ്ഥാ, ഉത്കണ്ഠാ, പെരുമാറ്റ പ്രശ്നം",,Pending,,
api.message.a05cf5bf7750,Add a submission comment (up to 4000 characters).,സമർപ്പണ കുറിപ്പ് ചേർക്കുക (പരമാവധി 4000 അക്ഷരങ്ങൾ).,,Pending,,
ui.add.attachment.maximum.2.mb.88f8a023,Add attachment (maximum 2 MB),അറ്റാച്ച്മെന്റ് ചേർക്കുക (പരമാവധി 2 MB),,Pending,,
ui.add.line.a922dc85,Add line,ലൈൻ ചേർക്കുക,,Pending,,
ui.add.payment.cf9d06f9,Add payment,പണമടയ്ക്കൽ ചേർക്കുക,,Pending,,
ui.add.stage.76fa771d,Add stage,ഘട്ടം ചേർക്കുക,,Pending,,
api.message.0d151c729633,Added a comment,കുറിപ്പ് ചേർത്തു,,Pending,,
api.message.8ed8d26e582f,Added an attachment,അറ്റാച്ച്മെന്റ് ചേർത്തു,,Pending,,
Added by the patient-context layer,Added by the patient-context layer,രോഗിയുടെ സാഹചര്യ തലത്തിൽ നിന്ന് ചേർത്തത്,,Pending,,
section.hr-dashboard.details.description,Additional business information.,അധിക ബിസിനസ് വിവരങ്ങൾ.,,Pending,,
Address,Address,വിലാസം,,Pending,,
Address line 1,Address line 1,വിലാസ വരി 1,,Pending,,
Address line 2,Address line 2,വിലാസ വരി 2,,Pending,,
Adherence,Adherence,പാലിക്കൽ,,Pending,,
Adjustments,Adjustments,ക്രമീകരണങ്ങൾ,,Pending,,
field.user.notes.label,Administrative notes,ഭരണപരമായ കുറിപ്പുകൾ,,Pending,,
section.user.audit.description,Administrative reason and record ownership.,ഭരണപരമായ കാരണവും രേഖയുടെ ഉടമസ്ഥതയും.,,Pending,,
menu.healthcare.admission-worklist.label,Admissions,ആശുപത്രി പ്രവേശനങ്ങൾ,,Pending,,
menu.healthcare.hc-access.label,Admissions & Visits,പ്രവേശനങ്ങളും സന്ദർശനങ്ങളും,,Pending,,
column.patient-master.admitted.label,Admitted,പ്രവേശിപ്പിച്ചു,,Pending,,
Adult,Adult,മുതിർന്നയാൾ,,Pending,,
Adult context: age and sex rules apply only where clinically relevant.,Adult context: age and sex rules apply only where clinically relevant.,മുതിർന്നവരുടെ സാഹചര്യം: ചികിത്സാപരമായി പ്രസക്തമായിടത്ത് മാത്രം പ്രായ ലിംഗ നിയമങ്ങൾ ബാധകം.,,Pending,,
ui.advanced.filters.db332598,Advanced filters,വിപുലമായ ഫിൽട്ടറുകൾ,,Pending,,
api.approval.advanced,Advanced to {stage},{stage} ഘട്ടത്തിലേക്ക് മുന്നേറി,,Pending,,
Affect,Affect,വൈകാരിക പ്രകടനം,,Pending,,
"Age-adjusted observation, growth, development and hydration","Age-adjusted observation, growth, development and hydration","പ്രായാനുസൃത നിരീക്ഷണം, വളർച്ച, വികാസം, ജലാംശം",,Pending,,
Age-appropriate milestones,Age-appropriate milestones,പ്രായാനുസൃത വികാസ ഘട്ടങ്ങൾ,,Pending,,
Aggregation,Aggregation,ഏകീകരണം,,Pending,,
Air entry,Air entry,വായു പ്രവേശനം,,Pending,,
Alignment,Alignment,വിന്യാസം,,Pending,,
ui.all.a52ace42,All,എല്ലാം,,Pending,,
All available,All available,ലഭ്യമായവയെല്ലാം,,Pending,,
