key,English,translation,review_status,reviewer,comments
catalog.help.formPatterns,Compose shared controls into a validated form. Replace the local submit callback with your authorized record adapter.,ركّب العناصر المشتركة في نموذج متحقق منه. استبدل الإرسال المحلي بمحول السجلات المصرح به.,Pending,,
catalog.help.dataPatterns,"DataTable receives rows, column definitions, selection, sorting and callbacks. The caller owns permissions and persistence.",يستقبل DataTable الصفوف والأعمدة والتحديد والفرز والدوال. يتولى المستدعي الصلاحيات والحفظ.,Pending,,
catalog.help.billing,Build line-entry and totals using shared number inputs and data display components. This demo is not a complete invoice service.,أنشئ إدخال البنود والإجماليات بعناصر الأرقام والعرض المشتركة. هذا المثال ليس خدمة فواتير كاملة.,Pending,,
catalog.help.localization,"The shell supplies LocalizationProvider. Reuse its translator for labels, direction and display formatting. Never translate identifiers or API values.",يوفر الهيكل LocalizationProvider. استخدمه للتسميات والاتجاه والتنسيق. لا تترجم المعرّفات أو قيم API.,Pending,,
catalog.example.TextDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.ValidationDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.SelectDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.ChoiceDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.FileDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.ReferenceDemo,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.example.DateDemo,Keep ISO date and local time values in state. Apply min/max bounds; choose a timezone in your domain service.,احتفظ بقيم تاريخ ISO والوقت المحلي في الحالة. طبق حدود min/max وحدد المنطقة الزمنية في خدمتك.,Pending,,
catalog.example.CalendarDemo,Keep ISO date and local time values in state. Apply min/max bounds; choose a timezone in your domain service.,احتفظ بقيم تاريخ ISO والوقت المحلي في الحالة. طبق حدود min/max وحدد المنطقة الزمنية في خدمتك.,Pending,,
catalog.example.CardsDemo,"Compose cards, grids, statistics and typed values. Format amounts for the selected locale.",ركّب البطاقات والشبكات والإحصاءات والقيم. نسّق المبالغ حسب اللغة المختارة.,Pending,,
catalog.example.StatsDemo,"Compose cards, grids, statistics and typed values. Format amounts for the selected locale.",ركّب البطاقات والشبكات والإحصاءات والقيم. نسّق المبالغ حسب اللغة المختارة.,Pending,,
catalog.example.StatusDemo,"Compose cards, grids, statistics and typed values. Format amounts for the selected locale.",ركّب البطاقات والشبكات والإحصاءات والقيم. نسّق المبالغ حسب اللغة المختارة.,Pending,,
catalog.example.ValuesDemo,"Compose cards, grids, statistics and typed values. Format amounts for the selected locale.",ركّب البطاقات والشبكات والإحصاءات والقيم. نسّق المبالغ حسب اللغة المختارة.,Pending,,
catalog.example.TableDemo,"Use semantic table elements for static, striped, bordered and compact tables. DataTable adds selection, sorting and editing.",استخدم عناصر الجداول الدلالية للجداول الثابتة والمخططة والمحددة والمضغوطة. يضيف DataTable التحديد والفرز والتحرير.,Pending,,
catalog.example.ButtonsDemo,"Supply callbacks for actions, selected values, tabs and page changes. Icon buttons need accessible labels.",وفر دوال للإجراءات والقيم والتبويبات وتغيير الصفحات. تحتاج أزرار الأيقونات لتسميات واضحة.,Pending,,
catalog.example.TabsDemo,"Supply callbacks for actions, selected values, tabs and page changes. Icon buttons need accessible labels.",وفر دوال للإجراءات والقيم والتبويبات وتغيير الصفحات. تحتاج أزرار الأيقونات لتسميات واضحة.,Pending,,
catalog.example.MenusDemo,"Supply callbacks for actions, selected values, tabs and page changes. Icon buttons need accessible labels.",وفر دوال للإجراءات والقيم والتبويبات وتغيير الصفحات. تحتاج أزرار الأيقونات لتسميات واضحة.,Pending,,
catalog.example.PaginationDemo,"Supply callbacks for actions, selected values, tabs and page changes. Icon buttons need accessible labels.",وفر دوال للإجراءات والقيم والتبويبات وتغيير الصفحات. تحتاج أزرار الأيقونات لتسميات واضحة.,Pending,,
catalog.example.OverlaysDemo,Control overlays with open/onClose. Map failures to useful recovery actions and preserve input during retries.,تحكم بالنوافذ عبر open/onClose. اربط الأخطاء بإجراءات استرداد واحفظ المدخلات أثناء المحاولة.,Pending,,
catalog.example.StatesDemo,Control overlays with open/onClose. Map failures to useful recovery actions and preserve input during retries.,تحكم بالنوافذ عبر open/onClose. اربط الأخطاء بإجراءات استرداد واحفظ المدخلات أثناء المحاولة.,Pending,,
catalog.example.SkeletonsDemo,Control overlays with open/onClose. Map failures to useful recovery actions and preserve input during retries.,تحكم بالنوافذ عبر open/onClose. اربط الأخطاء بإجراءات استرداد واحفظ المدخلات أثناء المحاولة.,Pending,,
catalog.example.RecoveryDemo,Control overlays with open/onClose. Map failures to useful recovery actions and preserve input during retries.,تحكم بالنوافذ عبر open/onClose. اربط الأخطاء بإجراءات استرداد واحفظ المدخلات أثناء المحاولة.,Pending,,
catalog.example.InlineDemo,onCommit may be asynchronous and reject with an error. Validate before saving; limit permitted status transitions.,يمكن أن تكون onCommit غير متزامنة وترفض بخطأ. تحقق قبل الحفظ وحدد انتقالات الحالة.,Pending,,
catalog.example.FormDemo,Compose shared controls into a validated form. Replace the local submit callback with your authorized record adapter.,ركّب العناصر المشتركة في نموذج متحقق منه. استبدل الإرسال المحلي بمحول السجلات المصرح به.,Pending,,
catalog.example.WorklistDemo,"DataTable receives rows, column definitions, selection, sorting and callbacks. The caller owns permissions and persistence.",يستقبل DataTable الصفوف والأعمدة والتحديد والفرز والدوال. يتولى المستدعي الصلاحيات والحفظ.,Pending,,
catalog.example.BillingDemo,Build line-entry and totals using shared number inputs and data display components. This demo is not a complete invoice service.,أنشئ إدخال البنود والإجماليات بعناصر الأرقام والعرض المشتركة. هذا المثال ليس خدمة فواتير كاملة.,Pending,,
catalog.example.LocalizationDemo,"The shell supplies LocalizationProvider. Reuse its translator for labels, direction and display formatting. Never translate identifiers or API values.",يوفر الهيكل LocalizationProvider. استخدمه للتسميات والاتجاه والتنسيق. لا تترجم المعرّفات أو قيم API.,Pending,,
