message_key,english,current_translation,reviewer,status,proposed_translation,notes
ui.not.registered.in.this.build.fe9af712, — not registered in this build, — इस बिल्ड में पंजीकृत नहीं,,Pending,,
ui.complete.fe9543cf,% complete,% पूर्ण,,Pending,,
ui.interim.03c51dde,(interim),‏(अंतरिम),,Pending,,
(required),(required),‏(आवश्यक),,Pending,,
ui.12.4.yoy.c7395af6,+12.4% YoY,+12.4% वार्षिक,,Pending,,
+8.7% vs prior,+8.7% vs prior,पिछले से +8.7%,,Pending,,
ui.change.it.in.my.preferences.the.record.schema.and.data.r.0074fc14,. Change it in My Preferences; the record schema and data remain unchanged.,। इसे मेरी प्राथमिकताओं में बदलें; रिकॉर्ड स्कीमा और डेटा समान रहते हैं।,,Pending,,
. Choose,. Choose,। चुनें,,Pending,,
ui.choose.62778c1f,. Choose ,। चुनें ,,Pending,,
ui.nothing.of.that.kind.leaves.as.a.document.487773f4,. Nothing of that kind leaves as a document.,। इस प्रकार की कोई चीज़ दस्तावेज़ के रूप में नहीं भेजी जाती।,,Pending,,
ui.the.assistant.summarises.it.does.not.diagnose.4388468f,. The assistant summarises; it does not diagnose.,"। सहायक सारांश देता है, निदान नहीं करता।",,Pending,,
ui.the.controls.below.are.greyed.as.a.courtesy.the.refusal.fffc8d0a,". The controls below are greyed as a courtesy — the refusal happens on the server, not here.",। नीचे नियंत्रण संकेत के लिए निष्क्रिय हैं; रोक सर्वर लागू करता है।,,Pending,,
ui.try.another.module.0a6adf30,. Try another module.,। दूसरा मॉड्यूल आज़माएँ।,,Pending,,
ui.0.squares.every.corner.in.the.app.169b6538,0 squares every corner in the app.,0 सभी कोनों को चौकोर बनाता है।,,Pending,,
03 Sep 2026,03 Sep 2026,03 सितम्बर 2026,,Pending,,
03/09/2026 — day first,03/09/2026 — day first,03/09/2026 — दिन पहले,,Pending,,
09/03/2026 — month first,09/03/2026 — month first,09/03/2026 — महीना पहले,,Pending,,
1 — newest only,1 — newest only,1 — केवल नवीनतम,,Pending,,
10 / page,10 / page,10 / पृष्ठ,,Pending,,
100 / page,100 / page,100 / पृष्ठ,,Pending,,
100% token-aware,100% token-aware,100% डिज़ाइन टोकन समर्थित,,Pending,,
104% of MTD plan,104% of MTD plan,माह की अब तक योजना का 104%,,Pending,,
12 blocking,12 blocking,12 अवरोधक,,Pending,,
12 blocking exceptions,12 blocking exceptions,12 अवरोधक अपवाद,,Pending,,
"12,34,567.89 — lakh/crore","12,34,567.89 — lakh/crore","12,34,567.89 — लाख/करोड़",,Pending,,
12-hour — 2:30 PM,12-hour — 2:30 PM,12 घंटे — 2:30 अपराह्न,,Pending,,
12-month rolling,12-month rolling,गत 12 महीने,,Pending,,
ui.13px.is.the.design.as.drawn.each.size.scales.its.area.in.21713684,"13px is the design as drawn. Each size scales its area independently, so dense tables and readable forms are not a trade-off.","मूल डिज़ाइन 13px है। हर क्षेत्र का आकार स्वतंत्र है, जिससे घनी तालिकाएँ और पठनीय फ़ॉर्म साथ मिलते हैं।",,Pending,,
field.user.sessionTimeout.option.15,15 minutes,15 मिनट,,Pending,,
158 joined YTD,158 joined YTD,इस वर्ष 158 शामिल,,Pending,,
182 in appeal,182 in appeal,182 अपील में,,Pending,,
2 seconds,2 seconds,2 सेकंड,,Pending,,
"2,486 transactions imported.","2,486 transactions imported.","2,486 लेन-देन आयात हुए।",,Pending,,
2.8% of base pay,2.8% of base pay,मूल वेतन का 2.8%,,Pending,,
20 / page,20 / page,20 / पृष्ठ,,Pending,,
2026-09-03 — ISO,2026-09-03 — ISO,2026-09-03 — ISO प्रारूप,,Pending,,
218 awaiting dispense,218 awaiting dispense,218 वितरण की प्रतीक्षा,,Pending,,
23 breach SLA today,23 breach SLA today,आज 23 सेवा सीमा उल्लंघन,,Pending,,
24-hour — 14:30,24-hour — 14:30,24 घंटे — 14:30,,Pending,,
26 licenses nearing expiry,26 licenses nearing expiry,26 लाइसेंस समाप्ति के निकट,,Pending,,
26 renewals due,26 renewals due,26 नवीनीकरण देय,,Pending,,
3.5 seconds,3.5 seconds,3.5 सेकंड,,Pending,,
field.user.sessionTimeout.option.30,30 minutes,30 मिनट,,Pending,,
ui.4.branches.18.426.source.records.8e3cdcc1,"4 branches • 18,426 source records","4 शाखाएँ • 18,426 स्रोत रिकॉर्ड",,Pending,,
42 batches,42 batches,42 बैच,,Pending,,
42 critical roles,42 critical roles,42 महत्त्वपूर्ण भूमिकाएँ,,Pending,,
5 seconds,5 seconds,5 सेकंड,,Pending,,
50 / page,50 / page,50 / पृष्ठ,,Pending,,
6 on critical formulary,6 on critical formulary,6 आवश्यक औषधि सूची में,,Pending,,
field.user.sessionTimeout.option.60,60 minutes,60 मिनट,,Pending,,
68 admitted in 24h,68 admitted in 24h,24 घंटे में 68 भर्ती,,Pending,,
68 off-formulary,68 off-formulary,68 सूची से बाहर,,Pending,,
68 pending,68 pending,68 लंबित,,Pending,,
8 customer critical,8 customer critical,8 ग्राहक संबंधी गंभीर,,Pending,,
field.user.sessionTimeout.option.480,8 hours,8 घंटे,,Pending,,
8 seconds,8 seconds,8 सेकंड,,Pending,,
81 exceptions,81 exceptions,81 अपवाद,,Pending,,
89% of plan,89% of plan,योजना का 89%,,Pending,,
99.2% of source records passed validation checks.,99.2% of source records passed validation checks.,99.2% स्रोत रिकॉर्ड सत्यापन में सफल।,,Pending,,
; administrative writes need,; administrative writes need,; प्रशासनिक बदलावों को चाहिए,,Pending,,
ui.administrative.writes.need.4fd2e058,; administrative writes need ,; प्रशासनिक बदलावों को चाहिए ,,Pending,,
ui.a.comment.is.required.for.submission.and.every.decision.322dedac,A comment is required for submission and every decision.,अनुरोध भेजने और हर निर्णय के लिए टिप्पणी आवश्यक है।,,Pending,,
api.message.1a98a4333b55,A credential cannot be set through /ai/config.,/ai/config से क्रेडेंशियल सेट नहीं किया जा सकता।,,Pending,,
api.message.dfffcc85eaec,A credential is required.,क्रेडेंशियल आवश्यक है।,,Pending,,
ui.a.documentation.template.not.clinical.decision.support.p.c2723289,"A documentation template, not clinical decision support. Prompts describe what a note of this shape usually records; they are not advice, and instruments are offered with the conditions under which they apply rather than as fields to complete.","यह दस्तावेज़ टेम्पलेट है, नैदानिक निर्णय सहायता नहीं। प्रॉम्प्ट सामान्य दस्तावेज़ सामग्री बताते हैं, सलाह नहीं देते। उपकरण लागू होने की शर्तों सहित दिए हैं, भरने योग्य फ़ील्ड के रूप में नहीं।",,Pending,,
"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why","A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why","अनुपस्थित, शून्य या गलत सीमा सर्वर की डिफ़ॉल्ट सीमा बनती है, असीमित नहीं — इसलिए",,Pending,,
ui.a.missing.zero.or.malformed.limit.resolves.to.the.server.fafc05f4,"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why ","अनुपस्थित, शून्य या गलत सीमा सर्वर की डिफ़ॉल्ट सीमा बनती है, असीमित नहीं — इसलिए ",,Pending,,
A percentage cannot be above 100.,A percentage cannot be above 100.,प्रतिशत 100 से अधिक नहीं हो सकता।,,Pending,,
api.message.a9180a9049d3,A product and page are required.,उत्पाद और पृष्ठ आवश्यक हैं।,,Pending,,
api.message.0b3462597a97,"A product, page and saved record are required.","उत्पाद, पृष्ठ और सहेजा रिकॉर्ड आवश्यक हैं।",,Pending,,
A quote must start at the beginning of a CSV cell.,A quote must start at the beginning of a CSV cell.,उद्धरण CSV सेल की शुरुआत में होना चाहिए।,,Pending,,
api.message.662591b216a1,A record cannot link to itself.,रिकॉर्ड स्वयं से जुड़ नहीं सकता।,,Pending,,
A record with this value already exists,A record with this value already exists,इस मान का रिकॉर्ड पहले से है,,Pending,,
ui.a.recovery.draft.is.available.from.567e101f,A recovery draft is available from,"पुनर्प्राप्ति ड्राफ़्ट उपलब्ध है, स्रोत",,Pending,,
ui.a.reference.list.could.not.be.loaded.a1e0d208,A reference list could not be loaded.,संदर्भ सूची लोड नहीं हुई।,,Pending,,
api.message.2269aa17a223,A saved view needs a pageId and filters.,सहेजे दृश्य के लिए pageId और फ़िल्टर आवश्यक हैं।,,Pending,,
api.message.fca081b77fa4,A search needs a pageId.,खोज के लिए pageId आवश्यक है।,,Pending,,
ui.a.shared.schema.driven.component.platform.for.erp.master.35e8912f,"A shared, schema-driven component platform for ERP masters, transactions, worklists, reports and utilities. Pages compose reusable controls instead of duplicating markup or visual rules.","ईआरपी मास्टर, लेन-देन, कार्यसूची, रिपोर्ट और उपयोगिताओं के लिए साझा स्कीमा आधारित घटक मंच। पृष्ठ पुनः उपयोग योग्य नियंत्रणों से बनते हैं।",,Pending,,
ui.a.standard.accessible.toggle.contract.a5e4bf2f,A standard accessible toggle contract.,मानक सुलभ टॉगल व्यवहार।,,Pending,,
ui.a.supported.level.not.a.submitted.code.final.selection.r.32ace8f6,"A supported level, not a submitted code. Final selection rests with the clinician or coder against current guidance, medical necessity and payer rules.","यह समर्थित स्तर है, जमा किया कोड नहीं। अंतिम चयन चिकित्सक या कोडर वर्तमान मार्गदर्शन, चिकित्सा आवश्यकता और भुगतानकर्ता नियमों से करता है।",,Pending,,
ui.a.tenant.setting.this.tenant.is.configured.for.the.uae.w.9f64c95a,"A tenant setting. This tenant is configured for the UAE, where E/M levels do not apply, so the default is none.","यह टेनेंट सेटिंग है। टेनेंट यूएई के लिए है जहाँ E/M स्तर लागू नहीं, इसलिए डिफ़ॉल्ट कोई नहीं।",,Pending,,
api.message.23461961caf0,A valid import identifier is required.,वैध आयात पहचानकर्ता आवश्यक है।,,Pending,,
api.message.fd524d32ebf1,A version and operation id are required.,संस्करण और कार्रवाई आईडी आवश्यक हैं।,,Pending,,
AED 2.1M due this week,AED 2.1M due this week,इस सप्ताह AED 2.1M देय,,Pending,,
AED 218K unfavorable variance despite 4.1% period growth.,AED 218K unfavorable variance despite 4.1% period growth.,अवधि वृद्धि 4.1% के बावजूद AED 218K प्रतिकूल अंतर।,,Pending,,
AED 3.1M overdue,AED 3.1M overdue,AED 3.1M अतिदेय,,Pending,,
AED 4.6M value,AED 4.6M value,मूल्य AED 4.6M,,Pending,,
AED — UAE dirham,AED — UAE dirham,AED — यूएई दिरहम,,Pending,,
AED • UAE Dirham,AED • UAE Dirham,AED • यूएई दिरहम,,Pending,,
menu.library.ai-administration.label,AI Administration,एआई प्रशासन,,Pending,,
menu.library.ai-assistant.label,AI Assistant,एआई सहायक,,Pending,,
ui.ai.assistant.ab6eb4ac,AI assistant,एआई सहायक,,Pending,,
AI assistant — {count} available here,AI assistant — {count} available here,AI सहायक — यहाँ {count} उपलब्ध,,Pending,,
menu.finance.ar-aging.label,AR Aging,प्राप्य बकाया आयु,,Pending,,
Abdomen and neurology,Abdomen and neurology,उदर और तंत्रिका,,Pending,,
Abdominal tenderness,Abdominal tenderness,उदर स्पर्श वेदना,,Pending,,
"Abnormal ECG, echo or troponin","Abnormal ECG, echo or troponin","असामान्य ईसीजी, इको या ट्रोपोनिन",,Pending,,
Abnormal Result,Abnormal Result,असामान्य परिणाम,,Pending,,
Abnormal paediatric result,Abnormal paediatric result,असामान्य बाल परिणाम,,Pending,,
Abnormal radiograph or MRI,Abnormal radiograph or MRI,असामान्य एक्स-रे या एमआरआई,,Pending,,
Abnormal screening result,Abnormal screening result,असामान्य स्क्रीनिंग परिणाम,,Pending,,
Abnormal ultrasound or screening result,Abnormal ultrasound or screening result,असामान्य अल्ट्रासाउंड या स्क्रीनिंग परिणाम,,Pending,,
Above 85% threshold,Above 85% threshold,85% सीमा से ऊपर,,Pending,,
Abu Dhabi contributes 44.8%,Abu Dhabi contributes 44.8%,अबू धाबी का योगदान 44.8%,,Pending,,
section.user.access.title,Access & roles,पहुँच और भूमिकाएँ,,Pending,,
Access not permitted,Access not permitted,पहुँच की अनुमति नहीं,,Pending,,
field.user.validFrom.label,Access valid from,पहुँच आरंभ तिथि,,Pending,,
field.user.validTo.label,Access valid until,पहुँच समाप्ति तिथि,,Pending,,
menu.library.accessibility.label,Accessibility,सुगम्यता,,Pending,,
Accessibility fixes,Accessibility fixes,सुलभता सुधार,,Pending,,
Accessibility score,Accessibility score,सुलभता स्कोर,,Pending,,
field.user.branches.label,Accessible branches,सुलभ शाखाएँ,,Pending,,
ui.account.manager.85c0ca88,Account manager,खाता प्रबंधक,,Pending,,
field.user.status.label,Account status,खाते की स्थिति,,Pending,,
Accounting,Accounting,लेखांकन,,Pending,,
page.ar-aging-report.title,Accounts Receivable Aging,प्राप्य खातों की आयु,,Pending,,
Across 12 accounts,Across 12 accounts,12 खातों में,,Pending,,
Across 5 ERP modules,Across 5 ERP modules,5 ईआरपी मॉड्यूल में,,Pending,,
Across 9 warehouses,Across 9 warehouses,9 गोदामों में,,Pending,,
Action plan active,Action plan active,कार्य योजना सक्रिय,,Pending,,
ui.action.queue.7ee1e24e,Action queue,कार्रवाई कतार,,Pending,,
Action required,Action required,कार्रवाई आवश्यक,,Pending,,
ui.action.unavailable.for.your.role.57f0713e,Action unavailable for your role,आपकी भूमिका के लिए कार्रवाई उपलब्ध नहीं,,Pending,,
Actionable and traceable to each problem,Actionable and traceable to each problem,हर समस्या से जुड़ा और कार्रवाई योग्य,,Pending,,
ui.actions.ff8059dc,Actions,कार्रवाइयाँ,,Pending,,
Active,Active,सक्रिय,,Pending,,
Active range,Active range,सक्रिय गति सीमा,,Pending,,
Active workforce,Active workforce,सक्रिय कर्मचारी,,Pending,,
Activity,Activity,गतिविधि,,Pending,,
Activity level,Activity level,गतिविधि स्तर,,Pending,,
ui.actual.versus.trajectory.refreshed.four.minutes.ago.9151a52f,Actual versus trajectory • refreshed four minutes ago,वास्तविक बनाम अनुमान • चार मिनट पहले ताज़ा किया,,Pending,,
column.patient-master.acuity.label,Acuity,गंभीरता,,Pending,,
Acute Symptom,Acute Symptom,तीव्र लक्षण,,Pending,,
"Acute mood, anxiety or behavioural concern","Acute mood, anxiety or behavioural concern","तीव्र मनोदशा, चिंता या व्यवहार समस्या",,Pending,,
api.message.a05cf5bf7750,Add a submission comment (up to 4000 characters).,भेजने के लिए टिप्पणी जोड़ें (अधिकतम 4000 अक्षर)।,,Pending,,
ui.add.attachment.maximum.2.mb.88f8a023,Add attachment (maximum 2 MB),संलग्नक जोड़ें (अधिकतम 2 MB),,Pending,,
ui.add.line.a922dc85,Add line,पंक्ति जोड़ें,,Pending,,
ui.add.payment.cf9d06f9,Add payment,भुगतान जोड़ें,,Pending,,
ui.add.stage.76fa771d,Add stage,चरण जोड़ें,,Pending,,
api.message.0d151c729633,Added a comment,टिप्पणी जोड़ी,,Pending,,
api.message.8ed8d26e582f,Added an attachment,संलग्नक जोड़ा,,Pending,,
Added by the patient-context layer,Added by the patient-context layer,रोगी संदर्भ परत से जोड़ा,,Pending,,
section.hr-dashboard.details.description,Additional business information.,अतिरिक्त व्यावसायिक जानकारी।,,Pending,,
Address,Address,पता,,Pending,,
Address line 1,Address line 1,पता पंक्ति 1,,Pending,,
Address line 2,Address line 2,पता पंक्ति 2,,Pending,,
Adherence,Adherence,पालन,,Pending,,
Adjustments,Adjustments,समायोजन,,Pending,,
field.user.notes.label,Administrative notes,प्रशासनिक टिप्पणियाँ,,Pending,,
section.user.audit.description,Administrative reason and record ownership.,प्रशासनिक कारण और रिकॉर्ड का स्वामित्व।,,Pending,,
menu.healthcare.admission-worklist.label,Admissions,भर्ती,,Pending,,
menu.healthcare.hc-access.label,Admissions & Visits,भर्ती और मुलाकातें,,Pending,,
column.patient-master.admitted.label,Admitted,भर्ती,,Pending,,
Adult,Adult,वयस्क,,Pending,,
Adult context: age and sex rules apply only where clinically relevant.,Adult context: age and sex rules apply only where clinically relevant.,वयस्क संदर्भ: आयु और लिंग नियम केवल नैदानिक प्रासंगिकता पर लागू।,,Pending,,
ui.advanced.filters.db332598,Advanced filters,उन्नत फ़िल्टर,,Pending,,
api.approval.advanced,Advanced to {stage},{stage} पर बढ़ा,,Pending,,
Affect,Affect,भाव,,Pending,,
"Age-adjusted observation, growth, development and hydration","Age-adjusted observation, growth, development and hydration","आयु अनुरूप अवलोकन, वृद्धि, विकास और जलस्थिति",,Pending,,
Age-appropriate milestones,Age-appropriate milestones,आयु अनुरूप विकास चरण,,Pending,,
Aggregation,Aggregation,समेकन,,Pending,,
Air entry,Air entry,वायु प्रवेश,,Pending,,
Alignment,Alignment,संरेखण,,Pending,,
ui.all.a52ace42,All,सभी,,Pending,,
All available,All available,सभी उपलब्ध,,Pending,,
ui.all.defaults.10313df3,All defaults,सभी डिफ़ॉल्ट,,Pending,,
All messages marked as read,All messages marked as read,सभी संदेश पढ़े हुए चिह्नित,,Pending,,
All notifications marked as read,All notifications marked as read,सभी सूचनाएँ पढ़ी हुई चिह्नित,,Pending,,
ui.all.rows.8e4d5816,All rows,सभी पंक्तियाँ,,Pending,,
All stages,All stages,सभी चरण,,Pending,,
All statuses,All statuses,सभी स्थितियाँ,,Pending,,
ui.all.systems.operational.39bd8d49,All systems operational,सभी प्रणालियाँ कार्यरत,,Pending,,
All widgets are synchronized with mock data.,All widgets are synchronized with mock data.,सभी विजेट नमूना डेटा से समन्वित हैं।,,Pending,,
field.consultation.allergies.label,Allergies,एलर्जी,,Pending,,
ui.allocation.summary.a758856b,Allocation summary,आवंटन सारांश,,Pending,,
Allowances,Allowances,भत्ते,,Pending,,
ui.alternate.rows.are.tinted.2acedabc,Alternate rows are tinted.,एकांतर पंक्तियाँ रंगी जाती हैं।,,Pending,,
Ambient recording,Ambient recording,परिवेश रिकॉर्डिंग,,Pending,,
Amount,Amount,राशि,,Pending,,
An age and development-appropriate instrument.,An age and development-appropriate instrument.,आयु और विकास अनुरूप उपकरण।,,Pending,,
api.message.c9346fe7104f,An edit needs a column.,संपादन के लिए कॉलम आवश्यक है।,,Pending,,
api.message.34f015c02805,An edit needs a page and a record.,संपादन के लिए पृष्ठ और रिकॉर्ड आवश्यक हैं।,,Pending,,
api.message.a71b0fc75b0e,An export record needs a pageId.,निर्यात रिकॉर्ड के लिए pageId आवश्यक है।,,Pending,,
api.message.3fc3fc0d5316,An operation identifier is required.,कार्रवाई पहचानकर्ता आवश्यक है।,,Pending,,
Analgesic or anti-inflammatory review,Analgesic or anti-inflammatory review,दर्दनिवारक या सूजनरोधी समीक्षा,,Pending,,
menu.pharmacy.rx-reports.label,Analysis,विश्लेषण,,Pending,,
menu.hr.hr-analytics.label,Analytics,विश्लेषिकी,,Pending,,
ui.animations.7f7c3306,Animations,एनिमेशन,,Pending,,
Antenatal or gynaecological follow-up,Antenatal or gynaecological follow-up,प्रसवपूर्व या स्त्री रोग अनुवर्ती,,Pending,,
Anticoagulant or cardiac medication review,Anticoagulant or cardiac medication review,रक्तरोधी या हृदय दवा समीक्षा,,Pending,,
Anxiety,Anxiety,चिंता,,Pending,,
Anxiety instrument,Anxiety instrument,चिंता उपकरण,,Pending,,
Appearance,Appearance,रूप,,Pending,,
Appearance and behaviour,Appearance and behaviour,रूप और व्यवहार,,Pending,,
Appetite,Appetite,भूख,,Pending,,
Application shell,Application shell,अनुप्रयोग ढाँचा,,Pending,,
Applied,Applied,लागू,,Pending,,
ui.applied.wherever.a.value.is.rendered.worklists.cards.pre.38999a3f,"Applied wherever a value is rendered: worklists, cards, previews, reports and billing.","कार्यसूची, कार्ड, पूर्वावलोकन, रिपोर्ट और बिलिंग में हर प्रदर्शित मान पर लागू।",,Pending,,
ui.applies.to.menus.actions.and.messages.3d1258c8,"Applies to menus, actions and messages.","मेन्यू, कार्रवाइयों और संदेशों पर लागू होता है।",,Pending,,
ui.apply.31e392d1,Apply,लागू करें,,Pending,,
menu.healthcare.appointment-worklist.label,Appointments,अपॉइंटमेंट,,Pending,,
menu.finance.fin-approvals.label,Approval Matrix,अनुमोदन मैट्रिक्स,,Pending,,
menu.sales.sales-approval.label,Approval Rules,अनुमोदन नियम,,Pending,,
menu.hr.hr-workflow.label,Approval Workflow,अनुमोदन कार्यप्रवाह,,Pending,,
menu.hr.approval-worklist.label,Approval Worklist,अनुमोदन कार्यसूची,,Pending,,
api.message.cee9d59bb0c9,Approval changed. Refresh before submitting.,अनुमोदन बदल गया है। भेजने से पहले रीफ़्रेश करें।,,Pending,,
Approval comment,Approval comment,अनुमोदन टिप्पणी,,Pending,,
api.message.7bfd165bb87e,Approval could not be confirmed. Retry the same action to recover its result.,अनुमोदन की पुष्टि नहीं हो सकी। परिणाम पाने के लिए वही कार्रवाई दोहराएँ।,,Pending,,
ui.approval.history.for.9208c99b,Approval history for,अनुमोदन इतिहास,,Pending,,
ui.approval.inbox.a670f0ac,Approval inbox,अनुमोदन इनबॉक्स,,Pending,,
ui.approval.ownership.61a992d1,Approval ownership,अनुमोदन स्वामित्व,,Pending,,
api.message.3a5a633e9ec3,Approval request is too large or invalid.,अनुमोदन अनुरोध बहुत बड़ा या अमान्य है।,,Pending,,
field.hr-dashboard.approvalRequired.label,Approval required,अनुमोदन आवश्यक,,Pending,,
ui.approval.stage.19f10a3e,Approval stage,अनुमोदन चरण,,Pending,,
ui.approval.stages.1faaedac,Approval stages,अनुमोदन चरण,,Pending,,
ui.approval.status.5a66175a,Approval status,अनुमोदन स्थिति,,Pending,,
ui.approve.6007acbe,Approve,स्वीकृत करें,,Pending,,
ui.approve.selected.86372811,Approve selected,चयनित स्वीकृत करें,,Pending,,
api.approval.approved,Approved,अनुमोदित,,Pending,,
Approved plan,Approved plan,अनुमोदित योजना,,Pending,,
Apr,Apr,अप्रैल,,Pending,,
field.user.language.option.ar,Arabic,अरबी,,Pending,,
ui.arabic.switches.the.whole.layout.to.right.to.left.e8b2231e,Arabic switches the whole layout to right-to-left,अरबी लेआउट को दाएँ से बाएँ करती है,,Pending,,
ui.archive.66f4804e,Archive,संग्रहित करें,,Pending,,
ui.archive.results.f0345b60,Archive results,परिणाम संग्रहित करें,,Pending,,
Archive {count} records?,Archive {count} records?,{count} रिकॉर्ड संग्रहित करें?,,Pending,,
Archived,Archived,संग्रहीत,,Pending,,
ui.arrange.open.records.as.movable.windows.with.a.taskbar.i.dd2f78aa,"Arrange open records as movable windows with a taskbar, instead of tabs.",खुले रिकॉर्ड टैब की जगह टास्कबार वाली चलायमान विंडो में दिखाएँ।,,Pending,,
ui.ask.before.archiving.selected.records.36e82503,Ask before archiving selected records.,चुने रिकॉर्ड संग्रहित करने से पहले पूछें।,,Pending,,
ui.ask.something.else.6b2e237d,Ask something else,कुछ और पूछें,,Pending,,
ui.ask.whoever.sent.it.to.share.it.again.dfea0fdc,Ask whoever sent it to share it again.,भेजने वाले से दोबारा साझा करने को कहें।,,Pending,,
