key,English,translation,review_status,reviewer,comments
template.name.pivot-report,Pivot / Cross-tab Report,تقرير محوري أو متقاطع,Pending,,
template.name.printable-report,Document / Printable Report,مستند أو تقرير للطباعة,Pending,,
template.name.operational-dashboard,Operational Dashboard,لوحة العمليات,Pending,,
template.name.management-dashboard,Management Dashboard,لوحة الإدارة,Pending,,
template.name.analytical-workspace,Analytical Workspace,مساحة التحليل,Pending,,
template.name.entity-360,360° Entity Workspace,مساحة العرض الشامل للكيان,Pending,,
template.name.history-timeline,Timeline / History,الخط الزمني والسجل,Pending,,
template.name.document-workspace,Document Workspace,مساحة المستندات,Pending,,
template.name.task-workspace,Task Workspace,مساحة المهام,Pending,,
template.name.communication-workspace,Communication Workspace,مساحة التواصل,Pending,,
template.name.policy-editor,Preferences and Policy Editor,محرر التفضيلات والسياسات,Pending,,
template.name.permissions-matrix,Permissions Matrix,مصفوفة الصلاحيات,Pending,,
template.name.workflow-configuration,Workflow Configuration,إعداد سير العمل,Pending,,
template.name.import-wizard,Import Wizard,معالج الاستيراد,Pending,,
template.name.background-jobs,Background Jobs Center,مركز المهام الخلفية,Pending,,
template.name.schedule-configuration,Schedule Configuration,إعداد الجدولة,Pending,,
template.name.audit-explorer,Audit / Incident Explorer,مستكشف التدقيق والحوادث,Pending,,
template.name.integration-configuration,Integration Configuration,إعداد الدمج,Pending,,
template.validation.hierarchy,A record cannot be its own ancestor. Choose another parent.,لا يمكن أن يكون السجل أصلاً لنفسه. اختر أصلاً آخر.,Pending,,
