message_key,english,current_translation,reviewer,status,proposed_translation,notes
"12,34,567.89 — lakh/crore","12,34,567.89 — lakh/crore","12,34,567.89 — لاك/كرور",,Pending,,
12-hour — 2:30 PM,12-hour — 2:30 PM,12 ساعة — 2:30 م,,Pending,,
12-month rolling,12-month rolling,متحرك لـ12 شهراً,,Pending,,
ui.13px.is.the.design.as.drawn.each.size.scales.its.area.in.21713684,"13px is the design as drawn. Each size scales its area independently, so dense tables and readable forms are not a trade-off.",الحجم الأساسي 13px. يُضبط حجم كل منطقة بشكل مستقل لقراءة النماذج مع إبقاء الجداول كثيفة.,,Pending,,
field.user.sessionTimeout.option.15,15 minutes,15 دقيقة,,Pending,,
158 joined YTD,158 joined YTD,انضم 158 منذ بداية العام,,Pending,,
182 in appeal,182 in appeal,182 قيد الاستئناف,,Pending,,
2 seconds,2 seconds,ثانيتان,,Pending,,
"2,486 transactions imported.","2,486 transactions imported.","تم استيراد 2,486 معاملة.",,Pending,,
2.8% of base pay,2.8% of base pay,2.8% من الراتب الأساسي,,Pending,,
20 / page,20 / page,20 / صفحة,,Pending,,
2026-09-03 — ISO,2026-09-03 — ISO,2026-09-03 — تنسيق ISO,,Pending,,
218 awaiting dispense,218 awaiting dispense,218 بانتظار الصرف,,Pending,,
23 breach SLA today,23 breach SLA today,23 تتجاوز مستوى الخدمة اليوم,,Pending,,
24-hour — 14:30,24-hour — 14:30,24 ساعة — 14:30,,Pending,,
26 licenses nearing expiry,26 licenses nearing expiry,26 ترخيصاً يقترب من الانتهاء,,Pending,,
26 renewals due,26 renewals due,26 تجديداً مستحقاً,,Pending,,
3.5 seconds,3.5 seconds,3.5 ثانية,,Pending,,
field.user.sessionTimeout.option.30,30 minutes,30 دقيقة,,Pending,,
ui.4.branches.18.426.source.records.8e3cdcc1,"4 branches • 18,426 source records","4 فروع • 18,426 سجلاً مصدرياً",,Pending,,
42 batches,42 batches,42 دفعة,,Pending,,
42 critical roles,42 critical roles,42 وظيفة حرجة,,Pending,,
5 seconds,5 seconds,5 ثوانٍ,,Pending,,
50 / page,50 / page,50 / صفحة,,Pending,,
6 on critical formulary,6 on critical formulary,6 في الدليل الحرج,,Pending,,
field.user.sessionTimeout.option.60,60 minutes,60 دقيقة,,Pending,,
68 admitted in 24h,68 admitted in 24h,68 حالة إدخال خلال 24 ساعة,,Pending,,
68 off-formulary,68 off-formulary,68 خارج الدليل,,Pending,,
68 pending,68 pending,68 معلقاً,,Pending,,
8 customer critical,8 customer critical,8 حالات حرجة للعملاء,,Pending,,
field.user.sessionTimeout.option.480,8 hours,8 ساعات,,Pending,,
8 seconds,8 seconds,8 ثوانٍ,,Pending,,
81 exceptions,81 exceptions,81 استثناءً,,Pending,,
89% of plan,89% of plan,89% من الخطة,,Pending,,
99.2% of source records passed validation checks.,99.2% of source records passed validation checks.,اجتاز 99.2% من السجلات المصدرية فحوص التحقق.,,Pending,,
; administrative writes need,; administrative writes need,؛ التعديلات الإدارية تتطلب,,Pending,,
ui.administrative.writes.need.4fd2e058,; administrative writes need ,؛ التعديلات الإدارية تتطلب ,,Pending,,
ui.a.comment.is.required.for.submission.and.every.decision.322dedac,A comment is required for submission and every decision.,التعليق مطلوب عند الإرسال ولكل قرار.,,Pending,,
api.message.1a98a4333b55,A credential cannot be set through /ai/config.,لا يمكن تعيين بيانات الاعتماد عبر /ai/config.,,Pending,,
api.message.dfffcc85eaec,A credential is required.,بيانات الاعتماد مطلوبة.,,Pending,,
ui.a.documentation.template.not.clinical.decision.support.p.c2723289,"A documentation template, not clinical decision support. Prompts describe what a note of this shape usually records; they are not advice, and instruments are offered with the conditions under which they apply rather than as fields to complete.",قالب توثيق وليس دعماً للقرار السريري. تصف التعليمات محتوى الملاحظة المعتاد وليست نصيحة؛ وتُعرض الأدوات مع شروط انطباقها لا كحقول يجب إكمالها.,,Pending,,
"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why","A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why",الحد المفقود أو الصفري أو غير الصحيح يُستبدل بافتراضي الخادم وليس بإلغاء الحد؛ ولهذا,,Pending,,
ui.a.missing.zero.or.malformed.limit.resolves.to.the.server.fafc05f4,"A missing, zero or malformed limit resolves to the server's default rather than to no limit at all — which is why ",الحد المفقود أو الصفري أو غير الصحيح يُستبدل بافتراضي الخادم وليس بإلغاء الحد؛ ولهذا ,,Pending,,
A percentage cannot be above 100.,A percentage cannot be above 100.,لا يمكن أن تتجاوز النسبة 100.,,Pending,,
api.message.a9180a9049d3,A product and page are required.,المنتج والصفحة مطلوبان.,,Pending,,
api.message.0b3462597a97,"A product, page and saved record are required.",يلزم تحديد منتج وصفحة وسجل محفوظ.,,Pending,,
A quote must start at the beginning of a CSV cell.,A quote must start at the beginning of a CSV cell.,يجب أن تبدأ علامة الاقتباس في بداية خلية CSV.,,Pending,,
api.message.662591b216a1,A record cannot link to itself.,لا يمكن ربط السجل بنفسه.,,Pending,,
A record with this value already exists,A record with this value already exists,يوجد سجل بهذه القيمة بالفعل,,Pending,,
ui.a.recovery.draft.is.available.from.567e101f,A recovery draft is available from,تتوفر مسودة استرداد من,,Pending,,
ui.a.reference.list.could.not.be.loaded.a1e0d208,A reference list could not be loaded.,تعذر تحميل قائمة مرجعية.,,Pending,,
api.message.2269aa17a223,A saved view needs a pageId and filters.,يتطلب العرض المحفوظ pageId وعوامل تصفية.,,Pending,,
api.message.fca081b77fa4,A search needs a pageId.,يتطلب البحث pageId.,,Pending,,
ui.a.shared.schema.driven.component.platform.for.erp.master.35e8912f,"A shared, schema-driven component platform for ERP masters, transactions, worklists, reports and utilities. Pages compose reusable controls instead of duplicating markup or visual rules.",منصة مكونات مشتركة قائمة على المخططات لبيانات ERP والمعاملات وقوائم العمل والتقارير والأدوات. تُبنى الصفحات من ضوابط قابلة لإعادة الاستخدام.,,Pending,,
ui.a.standard.accessible.toggle.contract.a5e4bf2f,A standard accessible toggle contract.,مكوّن تبديل قياسي يدعم إمكانية الوصول.,,Pending,,
ui.a.supported.level.not.a.submitted.code.final.selection.r.32ace8f6,"A supported level, not a submitted code. Final selection rests with the clinician or coder against current guidance, medical necessity and payer rules.",مستوى مدعوم وليس رمزاً مقدماً. الاختيار النهائي للطبيب أو المرمّز وفق الإرشادات والضرورة الطبية وقواعد الجهة الدافعة.,,Pending,,
ui.a.tenant.setting.this.tenant.is.configured.for.the.uae.w.9f64c95a,"A tenant setting. This tenant is configured for the UAE, where E/M levels do not apply, so the default is none.",إعداد للمستأجر. هذا المستأجر مهيأ للإمارات حيث لا تنطبق مستويات E/M؛ لذا الافتراضي بلا مستوى.,,Pending,,
api.message.23461961caf0,A valid import identifier is required.,معرّف استيراد صالح مطلوب.,,Pending,,
api.message.fd524d32ebf1,A version and operation id are required.,يلزم رقم النسخة ومعرّف العملية.,,Pending,,
AED 2.1M due this week,AED 2.1M due this week,AED 2.1M مستحقة هذا الأسبوع,,Pending,,
AED 218K unfavorable variance despite 4.1% period growth.,AED 218K unfavorable variance despite 4.1% period growth.,فرق سلبي AED 218K رغم نمو الفترة 4.1%.,,Pending,,
AED 3.1M overdue,AED 3.1M overdue,AED 3.1M متأخرة,,Pending,,
AED 4.6M value,AED 4.6M value,قيمة AED 4.6M,,Pending,,
AED — UAE dirham,AED — UAE dirham,AED — الدرهم الإماراتي,,Pending,,
AED • UAE Dirham,AED • UAE Dirham,AED • الدرهم الإماراتي,,Pending,,
menu.library.ai-administration.label,AI Administration,إدارة الذكاء الاصطناعي,,Pending,,
menu.library.ai-assistant.label,AI Assistant,مساعد الذكاء الاصطناعي,,Pending,,
ui.ai.assistant.ab6eb4ac,AI assistant,مساعد الذكاء الاصطناعي,,Pending,,
AI assistant — {count} available here,AI assistant — {count} available here,مساعد الذكاء الاصطناعي — {count} متاح هنا,,Pending,,
menu.finance.ar-aging.label,AR Aging,أعمار الذمم المدينة,,Pending,,
Abdomen and neurology,Abdomen and neurology,البطن والجهاز العصبي,,Pending,,
Abdominal tenderness,Abdominal tenderness,إيلام البطن,,Pending,,
"Abnormal ECG, echo or troponin","Abnormal ECG, echo or troponin",نتائج غير طبيعية لتخطيط القلب أو الإيكو أو التروبونين,,Pending,,
Abnormal Result,Abnormal Result,نتيجة غير طبيعية,,Pending,,
Abnormal paediatric result,Abnormal paediatric result,نتيجة أطفال غير طبيعية,,Pending,,
Abnormal radiograph or MRI,Abnormal radiograph or MRI,صورة أشعة أو رنين غير طبيعية,,Pending,,
Abnormal screening result,Abnormal screening result,نتيجة فحص غير طبيعية,,Pending,,
Abnormal ultrasound or screening result,Abnormal ultrasound or screening result,نتيجة موجات فوق صوتية أو فحص غير طبيعية,,Pending,,
Above 85% threshold,Above 85% threshold,فوق حد 85%,,Pending,,
Abu Dhabi contributes 44.8%,Abu Dhabi contributes 44.8%,تساهم أبوظبي بنسبة 44.8%,,Pending,,
section.user.access.title,Access & roles,الوصول والأدوار,,Pending,,
Access not permitted,Access not permitted,الوصول غير مسموح,,Pending,,
field.user.validFrom.label,Access valid from,بداية صلاحية الوصول,,Pending,,
field.user.validTo.label,Access valid until,نهاية صلاحية الوصول,,Pending,,
menu.library.accessibility.label,Accessibility,إمكانية الوصول,,Pending,,
Accessibility fixes,Accessibility fixes,إصلاحات إمكانية الوصول,,Pending,,
Accessibility score,Accessibility score,درجة إمكانية الوصول,,Pending,,
field.user.branches.label,Accessible branches,الفروع المتاحة,,Pending,,
ui.account.manager.85c0ca88,Account manager,مدير الحساب,,Pending,,
field.user.status.label,Account status,حالة الحساب,,Pending,,
Accounting,Accounting,المحاسبة,,Pending,,
page.ar-aging-report.title,Accounts Receivable Aging,أعمار الذمم المدينة,,Pending,,
Across 12 accounts,Across 12 accounts,عبر 12 حساباً,,Pending,,
Across 5 ERP modules,Across 5 ERP modules,عبر 5 وحدات ERP,,Pending,,
Across 9 warehouses,Across 9 warehouses,عبر 9 مستودعات,,Pending,,
Action plan active,Action plan active,خطة العمل نشطة,,Pending,,
ui.action.queue.7ee1e24e,Action queue,قائمة الإجراءات,,Pending,,
Action required,Action required,إجراء مطلوب,,Pending,,
ui.action.unavailable.for.your.role.57f0713e,Action unavailable for your role,الإجراء غير متاح لدورك,,Pending,,
Actionable and traceable to each problem,Actionable and traceable to each problem,قابل للتنفيذ ومرتبط بكل مشكلة,,Pending,,
ui.actions.ff8059dc,Actions,الإجراءات,,Pending,,
Active,Active,نشط,,Pending,,
Active range,Active range,مدى الحركة النشطة,,Pending,,
Active workforce,Active workforce,القوى العاملة النشطة,,Pending,,
Activity,Activity,النشاط,,Pending,,
Activity level,Activity level,مستوى النشاط,,Pending,,
ui.actual.versus.trajectory.refreshed.four.minutes.ago.9151a52f,Actual versus trajectory • refreshed four minutes ago,الفعلي مقابل المتوقع • تم التحديث قبل أربع دقائق,,Pending,,
column.patient-master.acuity.label,Acuity,حدة الحالة,,Pending,,
Acute Symptom,Acute Symptom,عرض حاد,,Pending,,
"Acute mood, anxiety or behavioural concern","Acute mood, anxiety or behavioural concern",قلق حاد بالمزاج أو القلق أو السلوك,,Pending,,
api.message.a05cf5bf7750,Add a submission comment (up to 4000 characters).,أضف تعليقًا للإرسال لا يتجاوز 4000 حرف.,,Pending,,
ui.add.attachment.maximum.2.mb.88f8a023,Add attachment (maximum 2 MB),إضافة مرفق (بحد أقصى 2 ميجابايت),,Pending,,
ui.add.line.a922dc85,Add line,إضافة بند,,Pending,,
ui.add.payment.cf9d06f9,Add payment,إضافة دفعة,,Pending,,
ui.add.stage.76fa771d,Add stage,إضافة مرحلة,,Pending,,
api.message.0d151c729633,Added a comment,أضاف تعليقًا,,Pending,,
api.message.8ed8d26e582f,Added an attachment,أضاف مرفقًا,,Pending,,
Added by the patient-context layer,Added by the patient-context layer,أضافته طبقة سياق المريض,,Pending,,
section.hr-dashboard.details.description,Additional business information.,معلومات تجارية إضافية.,,Pending,,
Address,Address,العنوان,,Pending,,
Address line 1,Address line 1,سطر العنوان الأول,,Pending,,
Address line 2,Address line 2,سطر العنوان الثاني,,Pending,,
Adherence,Adherence,الالتزام,,Pending,,
Adjustments,Adjustments,التعديلات,,Pending,,
field.user.notes.label,Administrative notes,ملاحظات إدارية,,Pending,,
section.user.audit.description,Administrative reason and record ownership.,السبب الإداري وملكية السجل.,,Pending,,
menu.healthcare.admission-worklist.label,Admissions,التنويم,,Pending,,
menu.healthcare.hc-access.label,Admissions & Visits,التنويم والزيارات,,Pending,,
column.patient-master.admitted.label,Admitted,تم الإدخال,,Pending,,
Adult,Adult,بالغ,,Pending,,
Adult context: age and sex rules apply only where clinically relevant.,Adult context: age and sex rules apply only where clinically relevant.,سياق البالغين: تُطبق قواعد العمر والجنس عند الصلة السريرية فقط.,,Pending,,
ui.advanced.filters.db332598,Advanced filters,عوامل تصفية متقدمة,,Pending,,
api.approval.advanced,Advanced to {stage},انتقل إلى {stage},,Pending,,
Affect,Affect,الوجدان,,Pending,,
"Age-adjusted observation, growth, development and hydration","Age-adjusted observation, growth, development and hydration",ملاحظة حسب العمر والنمو والتطور والترطيب,,Pending,,
Age-appropriate milestones,Age-appropriate milestones,معالم تطور مناسبة للعمر,,Pending,,
Aggregation,Aggregation,التجميع,,Pending,,
Air entry,Air entry,دخول الهواء,,Pending,,
Alignment,Alignment,المحاذاة,,Pending,,
ui.all.a52ace42,All,الكل,,Pending,,
All available,All available,كل المتاح,,Pending,,
ui.all.defaults.10313df3,All defaults,كل الإعدادات الافتراضية,,Pending,,
All messages marked as read,All messages marked as read,تم تحديد كل الرسائل كمقروءة,,Pending,,
All notifications marked as read,All notifications marked as read,تم تحديد كل الإشعارات كمقروءة,,Pending,,
ui.all.rows.8e4d5816,All rows,جميع الصفوف,,Pending,,
All stages,All stages,جميع المراحل,,Pending,,
All statuses,All statuses,جميع الحالات,,Pending,,
ui.all.systems.operational.39bd8d49,All systems operational,جميع الأنظمة تعمل,,Pending,,
All widgets are synchronized with mock data.,All widgets are synchronized with mock data.,كل الأدوات متزامنة مع البيانات التجريبية.,,Pending,,
field.consultation.allergies.label,Allergies,الحساسية,,Pending,,
ui.allocation.summary.a758856b,Allocation summary,ملخص التخصيص,,Pending,,
Allowances,Allowances,البدلات,,Pending,,
ui.alternate.rows.are.tinted.2acedabc,Alternate rows are tinted.,تظليل الصفوف بالتناوب.,,Pending,,
Ambient recording,Ambient recording,تسجيل محيطي,,Pending,,
Amount,Amount,المبلغ,,Pending,,
An age and development-appropriate instrument.,An age and development-appropriate instrument.,أداة مناسبة للعمر والتطور.,,Pending,,
api.message.c9346fe7104f,An edit needs a column.,يتطلب التعديل عمودًا.,,Pending,,
api.message.34f015c02805,An edit needs a page and a record.,يتطلب التعديل صفحة وسجلًا.,,Pending,,
api.message.a71b0fc75b0e,An export record needs a pageId.,يتطلب سجل التصدير pageId.,,Pending,,
api.message.3fc3fc0d5316,An operation identifier is required.,معرّف العملية مطلوب.,,Pending,,
Analgesic or anti-inflammatory review,Analgesic or anti-inflammatory review,مراجعة المسكنات أو مضادات الالتهاب,,Pending,,
menu.pharmacy.rx-reports.label,Analysis,التحليل,,Pending,,
menu.hr.hr-analytics.label,Analytics,التحليلات,,Pending,,
ui.animations.7f7c3306,Animations,الحركات,,Pending,,
Antenatal or gynaecological follow-up,Antenatal or gynaecological follow-up,متابعة الحمل أو أمراض النساء,,Pending,,
Anticoagulant or cardiac medication review,Anticoagulant or cardiac medication review,مراجعة مضادات التخثر أو أدوية القلب,,Pending,,
Anxiety,Anxiety,القلق,,Pending,,
Anxiety instrument,Anxiety instrument,أداة تقييم القلق,,Pending,,
Appearance,Appearance,المظهر,,Pending,,
Appearance and behaviour,Appearance and behaviour,المظهر والسلوك,,Pending,,
Appetite,Appetite,الشهية,,Pending,,
Application shell,Application shell,هيكل التطبيق,,Pending,,
Applied,Applied,تم التطبيق,,Pending,,
ui.applied.wherever.a.value.is.rendered.worklists.cards.pre.38999a3f,"Applied wherever a value is rendered: worklists, cards, previews, reports and billing.",تُطبق أينما تُعرض القيم: قوائم العمل والبطاقات والمعاينات والتقارير والفوترة.,,Pending,,
ui.applies.to.menus.actions.and.messages.3d1258c8,"Applies to menus, actions and messages.",تسري على القوائم والإجراءات والرسائل.,,Pending,,
ui.apply.31e392d1,Apply,تطبيق,,Pending,,
menu.healthcare.appointment-worklist.label,Appointments,المواعيد,,Pending,,
menu.finance.fin-approvals.label,Approval Matrix,مصفوفة الاعتماد,,Pending,,
menu.sales.sales-approval.label,Approval Rules,قواعد الاعتماد,,Pending,,
menu.hr.hr-workflow.label,Approval Workflow,سير عمل الاعتماد,,Pending,,
menu.hr.approval-worklist.label,Approval Worklist,قائمة عمل الاعتماد,,Pending,,
api.message.cee9d59bb0c9,Approval changed. Refresh before submitting.,تغيّرت الموافقة. حدّث الصفحة قبل الإرسال.,,Pending,,
Approval comment,Approval comment,تعليق الاعتماد,,Pending,,
api.message.7bfd165bb87e,Approval could not be confirmed. Retry the same action to recover its result.,تعذّر تأكيد الموافقة. أعد نفس الإجراء لاستعادة نتيجته.,,Pending,,
ui.approval.history.for.9208c99b,Approval history for,سجل الموافقات لـ,,Pending,,
ui.approval.inbox.a670f0ac,Approval inbox,صندوق الاعتمادات,,Pending,,
ui.approval.ownership.61a992d1,Approval ownership,ملكية الاعتماد,,Pending,,
api.message.3a5a633e9ec3,Approval request is too large or invalid.,طلب الموافقة كبير جدًا أو غير صالح.,,Pending,,
field.hr-dashboard.approvalRequired.label,Approval required,الموافقة مطلوبة,,Pending,,
ui.approval.stage.19f10a3e,Approval stage,مرحلة الاعتماد,,Pending,,
ui.approval.stages.1faaedac,Approval stages,مراحل الاعتماد,,Pending,,
ui.approval.status.5a66175a,Approval status,حالة الاعتماد,,Pending,,
ui.approve.6007acbe,Approve,اعتماد,,Pending,,
ui.approve.selected.86372811,Approve selected,اعتماد المحدد,,Pending,,
api.approval.approved,Approved,تمت الموافقة,,Pending,,
Approved plan,Approved plan,الخطة المعتمدة,,Pending,,
Apr,Apr,أبريل,,Pending,,
field.user.language.option.ar,Arabic,العربية,,Pending,,
ui.arabic.switches.the.whole.layout.to.right.to.left.e8b2231e,Arabic switches the whole layout to right-to-left,العربية تحول اتجاه التخطيط إلى اليمين لليسار,,Pending,,
ui.archive.66f4804e,Archive,أرشفة,,Pending,,
ui.archive.results.f0345b60,Archive results,أرشفة النتائج,,Pending,,
Archive {count} records?,Archive {count} records?,أرشفة {count} من السجلات؟,,Pending,,
Archived,Archived,مؤرشف,,Pending,,
ui.arrange.open.records.as.movable.windows.with.a.taskbar.i.dd2f78aa,"Arrange open records as movable windows with a taskbar, instead of tabs.",عرض السجلات المفتوحة كنوافذ قابلة للتحريك مع شريط مهام بدلاً من التبويبات.,,Pending,,
ui.ask.before.archiving.selected.records.36e82503,Ask before archiving selected records.,طلب التأكيد قبل أرشفة السجلات المحددة.,,Pending,,
ui.ask.something.else.6b2e237d,Ask something else,اسأل شيئاً آخر,,Pending,,
ui.ask.whoever.sent.it.to.share.it.again.dfea0fdc,Ask whoever sent it to share it again.,اطلب من المرسل مشاركته مجدداً.,,Pending,,
ui.assembly.is.truncated.to.this.5d3886f2,Assembly is truncated to this.,يُختصر التجميع إلى هذا الحد.,,Pending,,
section.consultation.assessment.title,Assessment and plan,التقييم والخطة,,Pending,,
Assessment and problems,Assessment and problems,التقييم والمشكلات,,Pending,,
field.user.roles.label,Assigned roles,الأدوار المعينة,,Pending,,
section.hr-dashboard.assignment.title,Assignment,التعيين,,Pending,,
ui.assistant.command.b33c0ecb,Assistant command,أمر المساعد,,Pending,,
ui.assistant.not.enabled.here.select.manually.258baf78,Assistant not enabled here — select manually,المساعد غير مفعّل هنا؛ اختر يدوياً,,Pending,,
"Asthma, growth or chronic condition review","Asthma, growth or chronic condition review",مراجعة الربو أو النمو أو حالة مزمنة,,Pending,,
At-risk renewals,At-risk renewals,تجديدات معرضة للخطر,,Pending,,
Atrial fibrillation and anticoagulation decisions only.,Atrial fibrillation and anticoagulation decisions only.,للرجفان الأذيني وقرارات مضادات التخثر فقط.,,Pending,,
api.message.4a8d45c019e6,Attachment is no longer available.,المرفق لم يعد متاحًا.,,Pending,,
Attachments,Attachments,المرفقات,,Pending,,
menu.hr.attendance-adjustment.label,Attendance Adjustment,تعديل الحضور,,Pending,,
menu.hr.attendance-anomalies.label,Attendance Anomalies,استثناءات الحضور,,Pending,,
menu.hr.attendance-report.label,Attendance Report,تقرير الحضور,,Pending,,
Attendance today,Attendance today,حضور اليوم,,Pending,,
Attention,Attention,الانتباه,,Pending,,
Attrition,Attrition,ترك العمل,,Pending,,
section.hr-dashboard.audit.title,Audit,التدقيق,,Pending,,
section.user.audit.title,Audit & notes,التدقيق والملاحظات,,Pending,,
ui.audit.workflow.c377a4b4,Audit & workflow,التدقيق وسير العمل,,Pending,,
ui.audit.protected.bdca2f73,Audit protected,محمي بالتدقيق,,Pending,,
