english,current_translation,reviewer,status,proposed_translation,notes
"Choose a guide or a release. Search by title, module or guide content. Select a release to read the guide snapshot for that version. Open What’s new to find changes affecting pages you can access.","മാർഗ്ഗനിർദ്ദേശമോ പതിപ്പോ തിരഞ്ഞെടുക്കുക. ശീർഷകം, വിഭാഗം, ഉള്ളടക്കം എന്നിവ ഉപയോഗിച്ച് തിരയുക. ഒരു പതിപ്പിന്റെ മാർഗ്ഗനിർദ്ദേശം കാണാൻ ആ പതിപ്പ് തിരഞ്ഞെടുക്കുക. നിങ്ങൾക്ക് ലഭ്യമായ പേജുകളുടെ മാറ്റങ്ങൾ കാണാൻ പുതിയ മാറ്റങ്ങൾ തുറക്കുക.",,Pending,,Documentation content; healthcare paragraphs also require domain review
Read explanation opens the linked section and records the notice as read. I understand is a separate acknowledgment and appears only when required. Reference guides and unreviewed translations are clearly labeled.,വിശദീകരണം വായിക്കുക എന്നത് ബന്ധപ്പെട്ട ഭാഗം തുറന്ന് അറിയിപ്പ് വായിച്ചതായി രേഖപ്പെടുത്തുന്നു. എനിക്ക് മനസ്സിലായി എന്നത് വേറിട്ട സ്ഥിരീകരണമാണ്; ആവശ്യമുള്ളപ്പോൾ മാത്രം കാണിക്കും. റഫറൻസ് മാർഗ്ഗനിർദ്ദേശങ്ങളും അവലോകനം ചെയ്യാത്ത പരിഭാഷകളും വ്യക്തമായി അടയാളപ്പെടുത്തിയിരിക്കുന്നു.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Administrator-managed preferences,അഡ്മിനിസ്ട്രേറ്റർ നിയന്ത്രിക്കുന്ന മുൻഗണനകൾ,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Learn how defaults, locks and unlocking affect your preferences.",സ്ഥിരമൂല്യങ്ങളും ലോക്കും അൺലോക്കും നിങ്ങളുടെ മുൻഗണനകളെ എങ്ങനെ ബാധിക്കുന്നു എന്ന് അറിയുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Browse page guides, release history and change explanations.",പേജ് മാർഗ്ഗനിർദ്ദേശങ്ങളും പതിപ്പ് ചരിത്രവും മാറ്റങ്ങളുടെ വിശദീകരണവും കാണുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant preference policies,ടെനന്റ് മുൻഗണനാ നയങ്ങൾ,,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant administrators can set defaults and lock preferences for each application. Personal choices return when a setting is unlocked.,ഓരോ ആപ്പിനും സ്ഥിരമൂല്യങ്ങളും മുൻഗണനാ ലോക്കുകളും ടെനന്റ് അഡ്മിനിസ്ട്രേറ്റർക്ക് നിശ്ചയിക്കാം. അൺലോക്ക് ചെയ്യുമ്പോൾ വ്യക്തിഗത തിരഞ്ഞെടുപ്പുകൾ മടങ്ങിവരും.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Dedicated page references, versioned releases and patches, and persistent change-reading status are available through a shared documentation engine.",പങ്കിട്ട ഡോക്യുമെന്റേഷൻ സംവിധാനം പേജ് റഫറൻസുകളും പതിപ്പുകളും പാച്ചുകളും മാറ്റങ്ങൾ വായിച്ചതിന്റെ സംരക്ഷിച്ച നിലയും നൽകുന്നു.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker translation review remains pending.,മാതൃഭാഷ സംസാരിക്കുന്നവരുടെ പരിഭാഷാ അവലോകനം പൂർത്തിയായിട്ടില്ല.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Most page guides are schema-based references awaiting detailed workflow authoring.,മിക്ക പേജ് മാർഗ്ഗനിർദ്ദേശങ്ങളും സ്കീമ അടിസ്ഥാനമാക്കിയ റഫറൻസുകളാണ്; വിശദമായ പ്രവർത്തനക്രമം തയ്യാറാക്കാനുണ്ട്.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker and healthcare-domain review remain pending.,മാതൃഭാഷാ വിദഗ്ധരുടെയും ആരോഗ്യരംഗ വിദഗ്ധരുടെയും അവലോകനം പൂർത്തിയായിട്ടില്ല.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Offline copy. Reconnect to check for updates.,ഓഫ്‌ലൈൻ പകർപ്പ്. പുതുക്കലുകൾ പരിശോധിക്കാൻ വീണ്ടും ബന്ധിപ്പിക്കുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Reusable localized frontend,വീണ്ടും ഉപയോഗിക്കാവുന്ന പ്രാദേശികഭാഷാ ഫ്രണ്ട്എൻഡ്,,Pending,,Documentation content; healthcare paragraphs also require domain review
Shared component and localization review fixes were deployed to both demo sites.,പങ്കിട്ട ഘടകങ്ങളുടെയും പ്രാദേശികഭാഷാ അവലോകനത്തിന്റെയും തിരുത്തലുകൾ രണ്ട് ഡെമോ സൈറ്റുകളിലും വിന്യസിച്ചു.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Historical page-guide snapshots were not captured.,പഴയ പേജ് മാർഗ്ഗനിർദ്ദേശങ്ങളുടെ പകർപ്പുകൾ രേഖപ്പെടുത്തിയിട്ടില്ല.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled reports and server controls,ക്രമീകരിച്ച റിപ്പോർട്ടുകളും സെർവർ നിയന്ത്രണങ്ങളും,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled in-app CSV reports and persistent audit events were deployed. Provider credentials use encrypted storage.,ആപ്പിനുള്ളിലെ സമയക്രമപ്പെടുത്തിയ CSV റിപ്പോർട്ടുകളും സ്ഥിരമായ ഓഡിറ്റ് രേഖകളും വിന്യസിച്ചു. സേവനദാതാവിന്റെ ക്രെഡൻഷ്യലുകൾ എൻക്രിപ്റ്റ് ചെയ്ത് സൂക്ഷിക്കുന്നു.,,Pending,,Documentation content; healthcare paragraphs also require domain review
External email delivery and native-speaker review were not completed in this release.,"ഈ പതിപ്പിൽ ബാഹ്യ ഇമെയിൽ വിതരണം, മാതൃഭാഷാ അവലോകനം എന്നിവ പൂർത്തിയായിരുന്നില്ല.",,Pending,,Documentation content; healthcare paragraphs also require domain review
