english,current_translation,reviewer,status,proposed_translation,notes
"Choose a guide or a release. Search by title, module or guide content. Select a release to read the guide snapshot for that version. Open What’s new to find changes affecting pages you can access.",اختر دليلاً أو إصداراً. ابحث بالعنوان أو الوحدة أو محتوى الدليل. اختر إصداراً لقراءة نسخة دليله. افتح ما الجديد للاطلاع على تغييرات الصفحات المتاحة لك.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Read explanation opens the linked section and records the notice as read. I understand is a separate acknowledgment and appears only when required. Reference guides and unreviewed translations are clearly labeled.,يفتح اقرأ الشرح القسم المرتبط ويسجل الإشعار كمقروء. فهمت إقرار منفصل يظهر عند الحاجة فقط. تُميّز الأدلة المرجعية والترجمات غير المراجعة بوضوح.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Administrator-managed preferences,تفضيلات يديرها المسؤول,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Learn how defaults, locks and unlocking affect your preferences.",تعرّف على تأثير القيم الافتراضية والقفل وإلغائه على تفضيلاتك.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Browse page guides, release history and change explanations.",تصفح أدلة الصفحات وسجل الإصدارات وشروحات التغييرات.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant preference policies,سياسات تفضيلات المستأجر,,Pending,,Documentation content; healthcare paragraphs also require domain review
Tenant administrators can set defaults and lock preferences for each application. Personal choices return when a setting is unlocked.,يمكن لمسؤولي المستأجر تحديد القيم الافتراضية وقفل التفضيلات لكل تطبيق. تعود الاختيارات الشخصية عند إلغاء القفل.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Dedicated page references, versioned releases and patches, and persistent change-reading status are available through a shared documentation engine.",يوفر محرك توثيق مشترك مراجع للصفحات وسجل الإصدارات والتحديثات وحالة قراءة محفوظة للتغييرات.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker translation review remains pending.,مراجعة الترجمة من متحدث أصلي قيد الانتظار.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Most page guides are schema-based references awaiting detailed workflow authoring.,معظم أدلة الصفحات مراجع مبنية على المخططات وتنتظر كتابة سير العمل التفصيلي.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Native-speaker and healthcare-domain review remain pending.,مراجعة المتحدثين الأصليين ومختصي الرعاية الصحية قيد الانتظار.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Offline copy. Reconnect to check for updates.,نسخة دون اتصال. أعد الاتصال للتحقق من التحديثات.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Reusable localized frontend,واجهة أمامية محلية قابلة لإعادة الاستخدام,,Pending,,Documentation content; healthcare paragraphs also require domain review
Shared component and localization review fixes were deployed to both demo sites.,نُشرت إصلاحات المكونات المشتركة ومراجعة الترجمة على موقعي العرض.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Historical page-guide snapshots were not captured.,لم تُحفظ نسخ تاريخية من أدلة الصفحات.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled reports and server controls,التقارير المجدولة وضوابط الخادم,,Pending,,Documentation content; healthcare paragraphs also require domain review
Scheduled in-app CSV reports and persistent audit events were deployed. Provider credentials use encrypted storage.,نُشرت تقارير CSV المجدولة داخل التطبيق وأحداث تدقيق دائمة. تُخزن بيانات اعتماد المزود بشكل مشفر.,,Pending,,Documentation content; healthcare paragraphs also require domain review
External email delivery and native-speaker review were not completed in this release.,لم يكتمل إرسال البريد الخارجي ومراجعة المتحدثين الأصليين في هذا الإصدار.,,Pending,,Documentation content; healthcare paragraphs also require domain review
